,start_pin,destination_pin,travel_distance,Quantity (In TON),amount
4023,362275,363423,337,39.71,305767.0
4024,362275,382415,439,29.12,227136.0
4025,362275,387560,404,41.61,303753.0
4026,362715,380002,446,30.3,236340.0
4027,362715,382421,461,34.44,537264.0
4028,362715,384315,549,34.34,254116.0
4029,362715,395007,692,34.4,1685009.02
4030,362715,410206,962,33.44,3831277.0599999996
4031,365560,361140,308,35.56,482193.61
4032,365560,382440,317,29.5,230100.01
4033,365560,391330,340,29.41,230574.41
4034,365560,391775,349,29.34,454183.21
4035,370511,344704,551,37.0,287489.0
4036,370511,361170,452,41.82,278520.0
4037,370511,364002,560,10.0,203100.0
4038,370511,365560,629,29.83,214775.0
4039,370511,382225,507,30.0,1605001.0
4040,370511,382424,497,36.82,1100917.0
4041,370511,382428,502,29.89,233142.01
4042,370511,385210,520,35.88,279864.01
4043,370511,383001,570,35.87,283372.77
4044,370511,383001,570,35.89,283530.76
4045,380004,361315,415,76.35,645004.8
4046,382350,370030,370,25.7,197376.0
4047,384002,370450,429,19.5,149760.0
4048,390012,110006,1035,0.002,24937.17
4049,413215,412206,318,29.59,223108.59
4050,413215,422604,380,36.0,547200.0
4051,424001,414402,301,12.5,90000.5
4052,425309,421602,345,29.16,212868.19
4053,431103,431715,438,26.25,594720.0
4054,431515,422101,373,25.0,405000.0
4055,431515,422602,341,25.0,367200.0
4056,442908,425001,609,34.34,250682.0
4057,442908,431121,541,20.0,156000.0
4058,442908,431203,510,279.4,1538215.19
4059,442908,431508,383,27.0,210600.0
4060,442908,481115,317,30.0,597600.0
4061,442916,441902,334,30.16,165880.0
4062,442916,444704,318,11.0,84700.0
4063,442917,431122,510,35.0,988064.36
4064,442917,441902,301,20.0,148000.0
4065,445304,415001,919,26.0,308581.52
4066,445304,422009,803,10.0,71400.0
4067,454446,392012,311,41.78,277419.2
4068,454446,394115,320,41.43,914774.9500000001
4069,454446,394520,436,41.27,305398.01
4070,454446,395007,433,41.95,146697.47999999998
4071,454446,396155,502,4.72,33511.97
4072,454446,462001,322,21.89,284913.25
4073,454446,462001,322,24.94,159616.0
4074,454446,462030,310,36.0,573120.0
4075,454446,465339,310,10.0,87600.0
4076,454446,465669,356,11.0,87340.09
4077,458470,453111,302,27.94,195580.02000000002
4078,458470,473446,548,7.0,55020.05
4079,470661,473001,457,12.0,112272.0
4080,483442,601201,1440,0.8,49720.0
4081,483501,828202,804,25.0,1536000.0
4082,483880,203207,793,815.87,3806523.07
4083,483880,274001,528,372.0,3643574.42
4084,483880,464551,356,5.0,80400.0
4085,483880,742212,967,803.27,8448793.86
4086,484776,276125,380,35.0,218400.0
4087,485005,226302,404,39.7,392236.0
4088,485005,272205,503,34.48,180675.2
4089,485005,273412,450,15.0,123000.0
4090,485111,222129,322,33.83,172533.21999999997
4091,485111,276135,346,29.77,169688.8
4092,485111,473770,456,25.0,176999.99
4093,485771,229301,352,34.0,163200.0
4094,485771,232104,325,32.14,308544.0
4095,485771,821105,341,40.94,196512.0
4096,485771,821105,341,44.1,211680.0
4097,485772,228119,353,31.0,218860.2
4098,485773,209801,394,590.1,3835650.0
4099,485773,229001,353,36.02,142097.46
4100,485773,229001,353,41.68,493238.35000000003
4101,485773,229001,353,43.2,409070.34
4102,486450,224001,420,24.6,169740.0
4103,486450,227409,378,30.0,350400.0
4104,486450,229001,400,33.63,169495.0
4105,486450,229402,386,29.94,211376.59
4106,486450,242221,670,40.83,293976.0
4107,486776,470002,378,12.0,118459.32
4108,486776,476111,540,35.0,1667401.3800000001
4109,486776,477660,524,22.0,172480.0
4110,486886,462036,715,15.0,221998.08000000002
4111,488441,209202,357,42.0,6310080.0
4112,488441,209871,355,29.38,148662.8
4113,488441,226004,385,42.0,604800.0
4114,488441,241001,433,41.71,279457.0
4115,488441,241301,407,41.67,882570.6
4116,488441,271865,553,5.0,36000.0
4117,490024,828124,825,3959.34,13989948.430000002
4118,490036,768216,370,10.0,86740.63
4119,490036,721101,749,34.8,191539.2
4120,490036,754295,556,29.64,322396.72
4121,490036,754295,556,31.06,340412.04
4122,490036,754295,556,35.36,192306.8
4123,490036,770051,459,33.32,273224.0
4124,490036,800007,773,4.0,54560.0
4125,493113,721507,699,3490.0,22845260.8
4126,493113,833210,499,4042.4,12935680.0
4127,493118,497778,373,15.0,223800.32
4128,493118,754029,529,35.22,450816.0
4129,493118,768108,372,6.0,42960.0
4130,493118,770074,348,5.0,76000.0
4131,493118,824101,544,34.28,109696.0
4132,493195,754006,580,36.78,308952.0
4133,493195,754027,571,33.75,122472.0
4134,493331,835207,431,4.0,33120.0
4135,493332,440023,382,28.06,190808.0
4136,493332,480661,487,31.43,199895.0
4137,493332,497331,357,35.0,1626800.4900000002
4138,493332,755026,574,38.73,353054.0
4139,493332,765013,511,35.0,123872.0
4140,493332,766012,352,35.0,1448300.64
4141,493332,441108,406,35.0,499098.88
4142,495663,496330,404,15.0,230400.0
4143,496001,231001,682,30.0,660020.0
4144,496001,273001,756,35.0,146998.0
4145,500018,504311,322,20.0,312000.0
4146,500067,521151,334,40.0,311520.0
4147,501158,410210,600,35.22,270489.6
4148,501158,410218,650,49.62,535896.02
4149,501158,410218,650,49.66,536328.02
4150,501158,410218,650,51.88,280152.0
4151,501158,411013,468,34.16,245952.0
4152,501158,570023,731,40.12,296888.0
4153,504218,431513,375,14.0,120400.9
4154,504218,431715,307,31.0,226299.8
4155,505187,441106,385,31.0,443300.01
4156,505187,462001,689,65.9,395400.02
4157,508204,441221,702,30.5,164700.01
4158,508204,503235,386,20.0,156000.0
4159,508204,524129,469,29.96,407456.0
4160,508204,531001,466,12.0,207360.0
4161,508204,531011,466,34.27,219327.99
4162,508204,531031,443,31.66,113185.77
4163,508204,531163,534,34.82,226754.8
4164,508204,532455,701,17.0,136000.0
4165,508204,533432,355,12.5,95994.06999999999
4166,508204,533446,381,16.5,115169.98999999999
4167,508204,535581,593,31.0,269142.08
4168,508204,600063,600,35.0,266000.0
4169,508204,632401,659,1.5,53849.950000000004
4170,508218,533228,307,15.5,117803.1
4171,508218,533308,308,10.0,81000.0
4172,508246,509104,349,10.0,245000.96
4173,508246,509130,353,13.0,81899.52
4174,508246,531031,464,36.22,187764.48
4175,508246,532284,721,36.0,473990.4
4176,508246,583201,584,30.0,189000.0
4177,508355,532460,643,36.0,295200.0
4178,508355,533005,369,5.0,54999.979999999996
4179,515408,637301,520,39.62,301112.01
4180,515408,570020,437,36.0,2047139.9700000002
4181,515408,600031,429,38.88,188568.0
4182,515408,603103,470,17.0,71525.12
4183,515408,620012,635,39.94,303544.0
4184,515408,635109,327,10.0,155199.88
4185,515415,524126,316,35.0,266000.0
4186,515415,560074,303,28.5,216600.0
4187,515415,562119,345,36.0,295200.0
4188,515415,631501,364,35.14,267064.0
4189,515415,631501,364,45.36,294250.4
4190,516289,577417,620,35.22,267672.0
4191,516289,600077,319,25.22,498297.47000000003
4192,516289,606601,307,26.0,324692.0
4193,516289,636105,431,26.0,191986.0
4194,516310,600014,325,37.15,871390.4
4195,516311,580024,412,6.0,34613.76
4196,516311,601102,304,39.76,282296.0
4197,516311,601201,314,29.56,206920.0
4198,516311,637207,541,34.88,244160.0
4199,516311,683585,788,24.52,201064.0
4200,516433,410205,1024,130.0,2080000.0
4201,516433,500006,363,31.0,248000.0
4202,516433,533435,701,11.0,88000.0
4203,516433,560049,321,42.75,299250.0
4204,516433,560060,346,25.0,2921253.65
4205,516433,560066,327,39.49,300124.0
4206,516433,581205,446,9.0,72900.0
4207,516433,587202,378,15.0,342000.0
4208,516433,591136,461,49.55,127735.94
4209,516433,605111,496,35.0,287000.0
4210,518123,563101,315,34.16,218624.0
4211,518123,603107,422,35.02,162492.8
4212,518123,636115,514,5.0,208640.0
4213,518123,636115,514,25.18,131338.88
4214,518123,636115,514,35.78,746513.92
4215,518123,636115,514,35.88,561450.24
4216,518124,502032,310,40.26,201177.36
4217,518124,572201,445,39.44,268192.0
4218,518124,577413,480,26.0,369200.34
4219,518124,608102,566,26.0,168272.0
4220,518206,524201,336,12.0,72000.0
4221,518206,562110,308,5.0,50000.0
4222,518206,601204,426,25.0,142499.99
4223,518206,621006,653,0.1,450.0
4224,518206,621006,653,1.0,4499.99
4225,518206,686609,906,37.62,161314.56
4226,518220,517001,332,36.0,266400.0
4227,518220,562112,360,36.0,1357200.0
4228,518220,570015,453,36.0,7815631.0
4229,518220,577542,333,10.0,78200.0
4230,518220,605701,534,36.0,267840.0
4231,518220,606905,402,17.5,260400.0
4232,518220,631302,365,26.0,569400.0
4233,518220,632011,398,15.0,334800.0
4234,518220,632301,406,15.0,120600.0
4235,518220,636011,501,36.0,851040.0
4236,518220,637502,518,1.0,66080.0
4237,518220,638009,563,36.0,258480.0
4238,518220,641105,679,18.5,132830.0
4239,518220,642128,705,1.0,7280.0
4240,518508,505425,576,15.0,240000.0
4241,518508,507101,454,30.0,255014.4
4242,518508,507136,567,30.0,252019.2
4243,518508,517520,328,30.0,245990.4
4244,518508,577201,481,36.0,241200.0
4245,518508,606401,504,15.0,122995.2
4246,521175,505404,317,27.0,631800.0
4247,521175,535591,578,34.48,255152.0
4248,521457,431603,489,7.0,137200.04
4249,521457,431603,489,35.0,392000.0
4250,521457,517501,489,16.0,263253.0
4251,521457,531173,480,16.0,235201.0
4252,521457,608301,759,36.0,786415.0
4253,521457,760003,749,20.0,142403.0
4254,522414,505325,412,36.04,475728.0
4255,522414,524126,365,16.0,240000.0
4256,522414,600110,434,35.0,754835.2
4257,522421,502220,336,35.9,197450.22999999998
4258,522421,603309,557,30.0,204000.0
4259,522437,413215,535,4052.48,21313824.68
4260,522437,503111,315,32.0,2377697.85
4261,522437,517001,462,34.98,237864.01
4262,522437,600077,440,38.48,230880.0
4263,522437,600127,466,39.04,288896.0
4264,522437,602105,461,35.14,245979.99
4265,522437,764021,723,34.72,499968.0
4266,522614,631201,446,1.8,172800.0
4267,531031,521002,340,29.28,181536.0
4268,531031,759019,572,34.4,282080.0
4269,531031,761111,339,15.0,99000.0
4270,531055,751019,481,31.43,182294.0
4271,531055,754009,503,30.0,365998.08
4272,531055,766026,382,25.5,200940.01
4273,531055,767024,563,4.0,32800.0
4274,561213,603103,360,41.36,237902.72
4275,577201,591130,325,0.1,1620.0
4276,581319,562159,520,30.0,228000.0
4277,583228,576105,408,36.0,188477.28
4278,583228,581348,338,17.0,136000.0
4279,583275,415105,469,10.0,48750.0
4280,583275,562159,354,11.1,273049.32
4281,583275,570015,403,10.0,150010.0
4282,585211,410507,474,33.82,528133.12
4283,585211,411037,415,29.76,320741.38
4284,585211,411041,440,34.9,2632967.68
4285,585211,415003,396,11.0,60121.6
4286,585211,415608,503,31.52,236400.2
4287,585211,577519,405,5.0,76600.32
4288,585222,410206,559,24.11,144660.0
4289,585222,410206,559,33.53,100590.0
4290,585222,411033,465,29.31,228852.48
4291,585222,411041,454,31.98,249699.84
4292,585222,411057,464,34.88,817029.12
4293,585222,412101,471,30.0,1767720.0
4294,585222,412115,467,34.88,1634058.24
4295,585222,412201,427,33.73,303570.0
4296,585222,412207,434,28.92,225807.36
4297,585222,412219,380,9.49,30368.0
4298,585222,412219,380,29.25,93600.0
4299,585222,412219,380,40.69,130208.0
4300,585222,412219,380,41.28,132096.0
4301,585222,412409,551,29.72,237760.0
4302,585222,415001,441,31.8,232012.8
4303,585222,415509,354,30.0,216000.0
4304,585222,416701,535,5.0,40099.84
4305,585222,444101,522,34.74,437724.0
4306,585222,505327,419,40.0,819200.0
4307,585222,506101,369,25.0,614400.0
4308,585222,515231,474,5.83,32648.03
4309,585222,522437,365,4.96,20316.16
4310,585222,522437,365,8.1,33177.6
4311,585222,573103,559,31.72,241072.0
4312,585222,577228,526,34.95,265620.01
4313,585222,577511,456,30.0,432000.0
4314,585222,581401,506,35.0,514500.01
4315,585222,583152,304,29.77,214344.31
4316,585225,400081,576,1320.9,6725136.15
4317,585225,416301,385,20.0,302400.0
4318,585225,561213,528,255.1,764723.98
4319,585305,411057,474,34.12,320727.98
4320,585305,591108,545,34.56,241920.0
4321,585320,403206,577,38.77,294652.0
4322,585320,410206,593,34.21,153535.8
4323,585320,412202,449,30.35,141675.55
4324,585320,412202,449,34.43,160721.23
4325,585320,412801,523,29.53,203757.0
4326,585320,413111,347,33.92,247616.0
4327,585320,423102,642,34.53,252069.0
4328,585320,431712,310,5.0,37001.0
4329,585320,504231,426,26.0,218400.0
4330,585320,506002,330,38.0,749664.0
4331,587122,413102,378,12.0,84000.0
4332,587122,402110,554,12.0,88800.0
4333,587122,411057,453,26.0,1801800.0
4334,587122,412804,360,13.0,691600.0
4335,591136,412806,330,19.0,144400.0
4336,591136,413102,379,35.02,255646.0
4337,591136,415540,316,20.0,314000.0
4338,591136,509208,302,26.0,185744.0
4339,600087,630556,458,23.5,3429120.0
4340,605301,624208,306,10.0,46000.64
4341,614713,632520,425,10.0,130560.0
4342,620020,627114,357,39.7,285840.0
4343,621651,600052,338,39.96,287712.0
4344,621651,627106,421,63.8,497640.0
4345,621651,635117,307,39.8,318400.0
4346,621651,671531,576,35.0,345072.0
4347,621651,673001,424,30.3,245430.0
4348,621651,673003,420,444.3,2193421.9499999997
4349,621651,673638,398,25.0,5374500.0
4350,621651,673638,398,31.0,164721.6
4351,621705,626205,316,35.72,204895.0
4352,621705,626205,316,36.78,974891.0
4353,621705,626205,316,43.4,201758.0
4354,621705,626205,316,59.42,276232.0
4355,621705,627423,404,0.5,4400.0
4356,621705,627423,404,5.0,86000.0
4357,621705,631005,333,69.66,529416.0
4358,621705,638451,364,10.0,79000.0
4359,621705,683516,426,35.0,1610000.0
4360,621707,560081,379,39.36,706590.0
4361,621707,560081,379,41.12,246061.03
4362,621707,601201,347,25.0,14142284.2
4363,621707,682315,447,1.0,34999.96
4364,621713,561203,440,12.5,153822.41999999998
4365,621713,572105,420,25.0,1276753.92
4366,621713,627352,353,39.3,597360.02
4367,621713,679577,440,26.0,974430.42
4368,621713,680006,389,28.88,508288.0
4369,621730,627352,381,33.46,508592.02
4370,621730,641305,323,3.0,40604.85
4371,621730,676508,454,5.69,38691.55
4372,624703,560064,378,5.0,28719.140000000003
4373,624703,562123,379,30.0,759000.0
4374,625201,600096,450,4.5,34560.0
4375,626204,606111,302,13.0,335400.03
4376,627352,609702,411,10.0,84000.0
4377,627352,614707,425,45.0,378000.0
4378,635001,630106,337,3.0,31046.079999999998
4379,636016,600026,336,45.12,327571.49
4380,637303,671315,447,5.0,372000.0
4381,638104,600004,424,29.98,152898.19
4382,641016,508204,1065,35.0,1037568.0
4383,641016,600098,493,5.0,76544.0
4385,721134,788801,1361,1083.3,7886424.0
4386,721134,855107,546,65.9,415170.0
4387,721147,732101,377,260.6,1662106.8
4388,732101,743247,319,10.0,153219.84
4389,735210,721632,754,30.0,6117298.800000001
4390,742227,735211,425,566.1,3305038.99
4391,752070,765016,331,30.0,2003568.88
4392,770017,765020,448,35.0,1687000.0
4393,770017,766013,461,35.0,285250.0
4394,781007,641016,3203,326.2,2672230.4
4395,781022,785686,367,20.0,197200.12
4396,781023,785110,346,25.0,1500000.0
4397,782140,786151,377,5.0,149100.03
4398,782140,795001,385,20.0,164000.0
4399,782402,786010,425,5.0,49200.0
4400,782402,786146,467,10.0,124593.74
4401,782410,783339,327,20.0,192000.0
4402,782446,787056,360,16.0,171200.0
4403,788003,796911,450,25.0,202500.01
4404,791105,791101,332,0.5,5670.0
4405,791105,791101,332,5.0,60400.0
4406,793101,786003,434,0.9,7830.0
4407,793200,735222,614,30.5,237900.01
4408,793200,781313,317,26.84,163187.2
4409,793200,781316,311,27.34,169726.72
4410,793200,795107,414,35.0,2323299.91
4411,793200,799014,375,25.0,645000.0
4412,793210,784001,367,30.0,516000.0
4413,793210,799205,311,10.0,167579.99
4414,802158,812005,320,10.0,168400.16
4415,803201,835222,311,30.0,103200.0
4416,814147,832402,373,3.85,11550.0
4417,821107,854316,446,5.0,43500.04
4418,824101,272175,317,34.0,348160.0
4419,827014,801113,333,65.9,944742.4
4420,827014,801113,333,659.0,8709337.24
4421,827014,801503,328,25.0,241500.0
4422,827014,822115,332,24.3,157950.0
4423,827014,843314,454,15.0,384300.0
4424,833210,813107,395,35.0,1792000.0
4425,833210,845455,650,309.5,792.3199999999999
4426,835223,822116,333,28.8,390758.4
4427,841226,852111,347,20.0,372800.0
4428,845438,824101,338,24.4,97600.0
4429,854318,824101,423,14.9,59600.0
4431,855107,833210,551,16.0,163840.0
4432,999999,232101,350,40.26,150975.0
4433,124146,134102,317,5.0,40800.0
4434,124146,140406,314,39.16,579568.5
4435,124146,145022,595,24.0,191520.0
4436,124146,249403,324,21.0,1931578.18
4437,124146,283203,310,39.02,304355.88
4438,127022,246761,341,5.0,88599.7
4439,140113,203207,336,41.88,267897.88
4440,140113,246194,367,32.2,222180.0
4441,140113,246194,367,39.65,273585.0
4442,140113,246444,470,24.67,345380.0
4443,143001,222203,1245,25.0,200000.0
4445,146001,192101,422,1.0,17320.0
4446,146001,192102,380,11.0,104060.0
4447,146111,185132,372,17.0,142120.0
4448,146111,192101,432,10.25,93890.0
4449,151002,123001,356,33.0,283899.21
4450,171102,151002,349,23.83,139102.87
4451,175019,194401,906,11.0,276539.16000000003
4452,176051,182202,318,9.0,103700.01
4453,181133,191203,366,25.0,195000.0
4454,184102,185136,333,10.0,168000.0
4455,190005,194104,475,20.0,181248.0
4456,201005,224204,685,29.65,231507.2
4457,201010,221112,841,5.0,42600.0
4458,203205,224147,789,25.0,192500.48
4459,210341,224001,303,32.0,5882530.0
4460,210341,262906,377,12.0,93600.0
4461,212107,209868,305,5.0,164000.04
4462,212107,226031,342,24.0,199200.16
4463,221110,261206,497,20.0,112000.0
4464,226401,201002,536,43.0,352256.0
4465,227409,231220,409,34.0,200600.0
4466,227409,274409,334,25.0,214500.0
4467,227409,284202,341,23.0,169280.0
4468,229303,207001,372,30.0,88042.2
4469,262902,272001,395,35.0,566999.98
4470,263139,249171,420,4.0,201467.82
4471,110041,800025,1065,105.5,945280.0
4472,110042,193222,885,28.0,481689.6
4473,110051,226001,525,89.25,776832.0
4474,123305,151001,303,8.0,65600.0
4475,123305,244901,318,20.0,364097.02
4476,123413,122503,500,11.5,181239.63
4477,124106,143401,507,43.0,874620.0
4478,124106,144514,370,42.0,957642.0
4479,124106,248125,333,8.0,67200.0
4480,124146,140119,377,15.0,376454.56
4481,124146,152001,497,42.0,784477.15
4482,124146,243635,451,42.0,327600.5
4483,127022,152116,324,14.0,107800.0
4484,140113,124103,316,40.0,421930.3
4485,143001,173234,316,35.0,300160.0
4486,145001,194101,966,6.5,101400.0
4487,146111,185132,372,10.0,169200.0
4488,146111,190005,483,12.5,104500.0
4489,146111,190017,497,25.0,450500.0
4490,171102,151002,349,24.04,1049979.24
4491,174013,175132,333,12.0,438220.8
4492,175027,176323,364,5.0,204000.0
4493,175027,194001,784,5.0,79000.0
4494,182101,194302,628,30.0,1111200.0
4495,184101,184206,315,5.75,55675.78
4496,184101,185121,320,9.5,242250.0
4497,190009,194302,432,3.55,104267.64
4498,190014,194301,320,7.5,77250.56
4499,202143,243506,321,12.0,87360.0
4500,203205,212601,545,20.0,130400.0
4501,203205,262202,317,25.0,203499.89
4502,203205,262802,396,5.0,36899.84
4503,203205,262902,412,10.0,957438.41
4504,203205,262902,412,32.0,270720.0
4505,209601,212214,334,39.5,292300.0
4506,210341,228001,302,3.0,18000.0
4507,210341,243203,473,15.0,125100.0
4508,212107,209841,316,10.0,238000.16
4509,212107,275103,302,1296.9,6904280.59
4510,221110,829117,360,29.06,146927.36
4511,221110,829122,370,30.72,155320.32
4512,227409,206245,344,32.0,500480.0
4513,227409,242127,345,25.0,1933500.0
4514,227409,242223,304,25.0,190500.0
4515,229303,276136,385,3.0,24360.0
4516,231207,272002,330,40.0,252122.4
4517,231311,209731,477,25.0,2711718.25
4518,231311,241001,498,30.0,167343.9
4519,232101,262723,606,30.0,159000.01
4520,243001,246424,356,14.0,212800.0
4521,273308,734005,741,41.3,324479.23
4522,282001,306107,442,10.25,59040.0
4523,282006,247662,403,25.0,302500.01
4524,284121,210208,473,22.5,157355.0
4525,301707,207242,328,10.0,164600.32
4526,303303,132001,464,28.0,232505.6
4527,305901,261001,806,127.8,2355609.6
4528,305901,301707,388,43.56,304920.0
4529,305901,301707,388,44.18,154630.0
4530,305901,314025,361,25.0,152000.0
4531,305901,385110,360,5.0,37900.01
4532,305901,465230,442,27.0,187919.36
4533,306101,151201,591,44.81,225125.12
4534,306107,123024,399,42.0,255360.0
4536,306107,125104,508,42.0,673679.36
4537,306107,136027,554,45.0,1402560.0
4538,306107,151507,515,3.0,25619.93
4539,306107,203205,528,42.13,566227.2
4540,306107,203205,528,44.16,791347.2
4541,306107,203205,528,45.51,2038848.0
4542,306107,204101,475,10.0,84800.0
4543,306107,246722,693,19.0,166819.84
4544,306107,247774,566,42.0,384720.0
4545,306107,301701,326,46.84,233825.28
4546,306107,301707,386,46.56,977760.0
4547,306107,301707,391,42.0,545999.36
4548,306107,321022,416,32.0,517760.14
4549,306107,325205,316,29.0,204739.84
4550,306107,325221,379,23.0,162379.52
4551,306107,326037,423,7.0,49419.520000000004
4552,306107,327001,397,34.0,174691.86
4553,306107,328023,453,22.0,176880.0
4554,306107,331302,375,10.0,121600.0
4555,306107,334402,357,15.0,119400.01
4556,306107,335804,418,44.64,1406160.0
4557,306107,335804,418,46.72,817600.0
4558,306107,335804,418,47.25,992250.0
4559,306107,335804,418,47.81,167335.0
4560,306107,345001,464,20.0,144800.0
4561,306107,382110,523,35.0,560000.0
4562,306107,385570,426,12.0,95760.0
4563,306308,124106,504,40.6,288260.0
4564,306308,127306,471,38.71,149794.0
4565,306308,132104,596,43.0,420505.6
4566,306308,136038,670,44.0,489364.48
4567,306308,160055,760,43.0,528725.79
4568,306308,247662,768,21.5,359910.09
4569,306308,250626,628,22.5,174149.85
4570,306308,251001,689,22.5,220032.0
4571,306308,303107,339,26.0,371280.0
4572,306308,332719,341,31.0,223820.0
4573,306308,333011,436,36.0,241200.0
4574,306709,201008,572,41.53,438237.87
4575,306709,201310,561,1.0,6900.0
4576,306709,301030,401,41.02,470909.63
4577,306709,327601,485,9.0,66600.0
4578,306709,334021,330,35.0,1127000.01
4579,306709,334603,356,35.0,273000.01
4580,306709,335024,459,10.0,163400.0
4581,306709,335512,459,2.0,11174.04
4582,307019,302017,453,40.77,124835.7
4583,307019,321608,567,10.0,218999.94
4584,307019,321608,567,32.0,742400.0
4585,307019,325209,444,19.0,141739.98
4586,307019,331022,503,7.5,60450.0
4587,307019,331022,503,25.0,185499.97999999998
4588,307019,334023,550,12.0,93840.0
4589,307019,335703,683,21.0,656879.92
4590,307019,345027,431,40.68,231876.0
4591,307019,345027,431,42.06,252359.97999999998
4592,307019,363510,382,32.0,1004800.0
4593,307019,363650,435,26.0,1627600.0
4594,307019,364001,410,37.35,146385.7
4595,307019,395003,498,40.64,261810.55
4596,307019,395003,498,40.94,661933.13
4597,307031,387370,321,41.74,304702.28
4598,312021,245207,646,10.0,77600.0
4599,312021,249204,810,42.0,320880.0
4600,312021,335803,658,7.0,50260.0
4601,312021,343001,364,35.0,1499412.6
4602,312021,387130,392,40.64,284480.0
4603,312021,395005,634,42.04,302688.0
4604,312021,454116,369,20.0,149200.0
4605,312601,110044,614,39.77,290320.72
4606,312601,110056,612,39.43,299668.38
4607,312601,301411,571,43.0,266599.75
4608,312601,302001,348,45.58,296270.06
4609,312601,303108,451,43.5,295800.26
4610,312601,303303,408,41.5,193888.0
4611,312601,321203,560,21.2,165784.26
4612,312601,332311,481,15.0,123600.5
4613,312601,333021,491,30.0,443400.76
4614,312601,343049,373,13.0,800800.04
4615,312601,344702,550,16.5,272910.06
4616,312601,380002,385,30.39,212729.69
4617,312601,389350,427,39.69,297675.4
4618,312601,393110,479,38.5,281049.69
4619,312601,394516,655,44.67,352893.33999999997
4620,312601,476224,578,22.0,158840.25
4621,312617,302026,328,43.61,270382.0
4622,312617,322024,383,20.0,162800.0
4623,312617,332001,450,22.0,360800.0
4624,312617,332702,380,43.88,276444.0
4625,312617,332713,493,39.18,242916.0
4626,312617,342603,342,5.0,40700.0
4627,312617,382010,367,44.27,314317.0
4628,312617,382210,412,45.0,829800.0
4629,312617,387370,436,44.16,309120.0
4630,312620,110041,620,39.28,553062.4
4631,312620,122105,551,30.0,498600.0
4632,312620,124001,617,25.0,221500.01
4633,312620,125111,750,30.0,248400.0
4634,312620,126102,669,42.5,2125000.0
4635,312620,127306,567,39.29,155148.0
4636,312620,127306,567,40.45,159729.0
4637,312620,245101,710,43.5,195750.0
4638,312620,303007,319,39.64,194236.0
4639,312620,322201,466,43.0,134442.18
4640,312620,343032,376,37.0,276760.0
4641,312620,385330,410,7.0,53620.0
4642,312620,385535,376,39.0,273000.0
4643,312620,394510,660,44.76,326748.0
4644,312620,465110,328,30.0,221399.6
4645,312620,466651,435,32.0,471040.96
4646,312622,203131,694,42.0,1291874.35
4647,312622,303108,433,40.21,281470.02
4648,313001,335001,813,10.0,1338799.37
4649,313022,304804,337,22.0,164999.98
4650,313022,335526,766,42.0,309959.98
4651,313201,335512,811,15.0,52365.0
4652,313201,342901,419,20.0,440800.0
4653,323603,456440,476,11.0,85360.0
4654,326520,281004,516,194.7,946522.37
4655,326520,282006,534,65.9,1922213.4
4656,326520,282006,534,659.0,3203688.96
4657,326520,282006,534,919.6,4470580.22
4658,326520,302001,319,45.0,1503000.0
4659,326520,321001,476,518.2,3824316.0
4660,331302,304502,381,11.0,88990.09
4661,335804,144001,313,45.03,328718.94
4662,335804,144224,422,49.0,3764768.0
4663,341026,203207,591,43.68,800979.4
4664,341026,301707,467,17.0,129540.0
4665,341026,304021,332,34.0,255000.0
4666,341026,322214,386,17.0,128520.0
4667,341026,335073,437,34.0,792880.0
4668,342606,122001,538,12.0,210516.02000000002
4669,342606,444601,962,2.0,33853.3
4670,342606,457001,494,8.0,208351.53
4671,342606,500070,1738,23.9,480447.36
4672,342606,517501,2202,20.0,359846.4
4673,342902,124106,491,28.0,22825269.0
4674,342902,160101,744,14.0,958851.6
4675,342902,301030,387,15.0,242544.48
4676,342902,734001,1743,27.9,14156978.620000001
4677,344704,335511,814,10.0,74700.0
4678,360311,370445,342,17.0,127500.1
4679,360311,370510,372,20.0,140000.0
4680,360311,383315,395,30.0,218781.0
4681,360560,380058,383,25.11,366606.0
4682,361140,364510,310,32.0,240000.0
4683,361345,370205,400,25.8,193500.16
4684,361345,370485,461,6.0,43200.0
4685,362275,363030,341,35.0,245000.2
4686,362275,382245,348,10.0,163000.0
4687,362275,392130,606,29.15,431420.0
4688,362715,363641,319,24.0,1075200.0
4689,362715,380016,449,30.24,226800.0
4690,362715,380023,449,24.0,199680.0
4691,362715,380049,464,35.0,262500.0
4692,362715,382007,468,35.0,788900.0
4693,362715,382305,483,30.9,222480.0
4694,362715,382421,461,30.52,231952.0
4695,362715,395007,692,33.0,2232014.4
4696,362715,395007,692,34.14,569078.32
4697,362715,410206,962,29.82,314446.17000000004
4698,362715,410206,962,32.18,1029901.68
4699,362715,410206,962,32.2,515270.91000000003
4700,362715,410206,962,34.1,912079.95
4701,365560,361315,354,15.0,245400.22
4702,365560,380054,308,25.0,185000.01
4703,365560,382345,321,29.47,221025.21
4704,365560,382355,342,29.52,175275.0
4705,365560,382415,329,29.37,226149.19
4706,365560,382421,322,35.78,271928.01
4707,365560,382481,316,35.57,540664.04
4708,370511,363430,423,35.81,261413.25
4709,370511,364004,575,27.0,601170.0
4710,370511,382355,512,35.0,202342.0
4711,370511,383246,637,35.0,291200.0
4712,370511,384170,475,29.87,218050.0
4713,370511,388320,561,41.0,1884589.6
4714,370511,389155,711,35.0,310800.0
4715,380009,394730,376,10.0,83200.0
