,start_pin,destination_pin,travel_distance,Quantity (In TON),amount
164,312622,201008,669,2066.91,555029822.6999999
165,312622,201206,684,1318.0,78017569.74000001
166,312622,322701,368,40.81,277508.01
167,312622,388245,402,41.44,1052642.36
168,313022,302036,417,42.0,1013748.96
169,313022,370415,573,40.96,754974.72
170,326520,281004,516,323.5,1572675.84
171,326520,321608,411,42.0,1224720.0
172,327025,311603,315,42.0,243600.0
173,327025,384265,310,5.0,198000.0
174,327025,396195,510,22.0,114400.0
175,327025,466665,456,28.0,237619.2
176,335804,141015,304,21.0,255360.0
177,335804,143112,351,10.0,90599.68
178,335804,144224,422,27.0,1389312.0
179,335804,176202,473,5.0,96480.0
180,341026,110077,510,41.42,302366.0
181,341026,131301,565,41.84,577392.0
182,341026,301705,414,43.0,1200560.02
183,341026,303326,351,33.9,196620.0
184,341026,321001,452,13.0,106080.0
185,341026,335523,334,15.0,254100.0
186,342606,110020,573,5.0,184536.2
187,342606,201001,598,27.7,3555203.31
188,342606,201308,613,27.3,442662.33
189,342606,263153,856,2.0,40204.8
190,342606,276001,1172,12.0,431059.98
191,342606,384001,428,5.95,104217.2
192,342606,415001,1276,10.0,167869.30000000002
193,342606,452010,638,17.5,309365.95999999996
194,342606,821305,1301,5.0,185816.39
195,342902,141001,812,27.5,1837440.0
196,342902,390022,632,10.0,101000.0
197,342902,515001,1916,2.0,59388.0
198,343041,334001,567,44.0,390725.64
199,360021,393002,396,25.0,94499.96
200,360311,383001,342,12.0,84000.0
201,360311,385001,399,6.0,42000.0
202,360311,387325,304,5.0,80300.0
203,360311,390019,326,25.0,1943130.0
204,360560,382210,381,25.09,87815.48
205,360560,383460,558,25.0,185000.0
206,360560,390022,452,25.0,181000.0
207,361345,362530,316,5.0,36000.0
208,361345,363001,360,5.8,27045.4
209,361345,363330,339,25.8,183180.16
210,361345,385566,526,26.0,556920.48
211,362275,387320,464,35.0,490001.0
212,362275,389330,532,29.18,217099.0
213,362715,380006,442,0.19,2871.2
214,362715,382421,461,30.02,228152.0
215,362715,382715,489,34.52,258900.0
216,365540,395007,538,1991.0,5824511.22
217,365560,380008,317,34.86,264936.01
218,365560,382345,321,24.46,190788.01
219,365560,391243,371,29.51,216603.59
220,365560,391243,371,29.62,652233.0
221,370511,363641,321,41.89,314175.0
222,370511,364004,575,42.0,623436.0
223,370511,380001,485,36.95,1337590.0
224,370511,380051,478,41.9,578218.0
225,370511,382007,506,35.66,260318.24
226,370511,382418,503,35.64,277992.01
227,370511,392150,613,35.0,213451.35
228,380004,361315,415,38.0,1604633.6
230,388245,396125,311,32.55,244125.22
231,388245,396125,311,35.44,1063201.0
232,388245,396125,311,35.65,267375.24
233,391350,312601,477,0.1,1848.0
234,394101,361170,553,34.8,253900.0
235,400703,380023,534,41.7,655457.28
236,400707,384450,604,30.0,422400.0
237,412219,401603,350,19.0,304759.56
238,421503,822114,1867,66.25,542720.0
239,425309,391350,475,35.0,184128.0
240,425406,421402,309,39.08,285284.26
241,442908,400708,867,32.0,246400.0
242,442908,431121,541,32.0,748800.0
243,442908,508213,511,5.0,42000.0
244,442916,444203,452,4.0,24000.0
245,445304,500018,403,263.6,1583752.67
246,454446,394115,320,41.6,916032.81
247,454446,462046,349,35.0,1414000.02
248,454446,466115,302,25.0,182500.0
249,454446,466651,303,30.0,172800.0
250,454446,473287,360,36.0,1980721.68
251,454446,396580,406,35.0,252000.0
252,458441,457887,324,30.0,180000.0
253,458470,453111,302,28.76,201320.01
254,458470,465669,321,18.0,137880.12
255,470661,273004,886,495.2,6310671.14
256,483880,203207,793,754.94,70444961.2
257,483880,227409,359,799.28,5864027.6
258,483880,227409,359,799.4,10135399.48
259,483880,227409,381,818.61,6005844.78
260,483880,461661,369,25.0,187000.0
261,483880,462010,367,723.0,4162345.7
262,483880,472442,307,16.0,1413120.0
263,484774,273411,464,35.0,207900.16
264,485111,209859,318,40.87,210071.53000000003
265,485111,223222,319,197.7,2726678.4
266,485111,224120,375,36.81,483418.36
267,485111,224120,375,43.82,287739.64
268,485111,224181,394,17.0,129880.0
269,485111,226002,383,41.71,216892.0
270,485111,273303,490,33.64,174928.0
271,485111,285001,330,14.0,78400.0
272,485111,821109,328,69.9,2122723.2
273,485771,221003,306,5.0,164544.0
274,485771,232101,316,41.84,200832.0
275,485771,232118,352,43.24,415104.0
276,485771,462026,461,25.0,3018478.0
277,485773,450117,571,30.0,504000.0
278,486450,208021,484,30.0,207000.2
279,486450,209825,473,18.0,122400.0
280,486450,229402,386,29.79,210317.6
281,486450,242127,678,41.31,892296.0
282,486450,273413,404,40.99,233643.27
283,486450,285204,550,35.0,259700.0
284,486776,477441,668,35.0,267400.01
285,488441,209722,406,41.64,291480.0
286,488441,224122,445,30.0,213000.0
287,488441,226102,399,39.77,278390.0
288,488441,231216,403,31.0,892800.0
289,490024,762014,410,37.28,924544.0
290,490036,480106,337,30.0,996000.0
291,490036,480888,465,30.0,1162800.0
292,490036,497778,460,31.0,429039.95999999996
293,490036,754295,556,37.38,102419.52
294,490036,800007,773,30.0,2176800.0
295,491107,764043,431,31.0,465000.0
296,492001,227405,831,3866.02,25015469.0
297,492099,121010,1323,25.0,750000.0
298,493118,480661,473,10.0,61800.100000000006
299,493118,754029,529,29.99,95968.0
300,493118,754029,529,31.14,199296.0
301,493118,754029,529,35.66,228224.0
302,493118,767030,339,30.0,6246592.64
303,493118,770015,323,21.0,149100.13
304,493195,754027,571,33.65,122109.12
305,493195,764058,380,25.0,202000.0
306,493196,754027,546,24.3,84976.13
307,493196,754027,546,29.2,102111.23999999999
308,493196,754027,546,30.03,435891.48
309,493196,754027,546,30.1,421034.0
310,493196,754027,546,30.75,446342.4
311,493196,754027,546,34.38,873307.05
312,493196,754027,546,38.62,405157.80000000005
313,493331,497220,440,35.0,488600.0
314,493331,851101,855,309.5,936809.46
315,493332,441905,322,31.0,409200.0
316,493332,496331,372,15.0,106800.0
317,493332,755026,574,38.9,177301.85
318,493332,757043,576,28.0,224000.0
319,493332,759126,354,35.0,574000.0
320,493332,761015,585,32.0,508160.42000000004
321,493332,764058,411,33.07,251331.67
322,493332,812001,886,30.0,264000.0
323,496001,834005,350,30.0,188997.0
324,501158,414101,434,33.96,261492.01
325,501158,410218,650,50.98,275292.01
326,501158,412201,490,41.58,224532.01
327,501158,412201,490,50.64,546912.0
328,501158,412208,469,30.5,952576.0
329,501158,431001,485,51.1,260610.0
330,501158,583222,336,10.0,66600.0
331,504218,431401,358,38.58,281633.75
332,504218,431602,337,31.24,405495.0
333,504218,431742,320,25.0,192499.2
334,504218,440025,301,30.0,180000.0
335,504218,444504,488,10.0,77399.04000000001
336,504218,444705,509,30.0,226199.04
337,504218,500032,312,29.54,437192.02
338,504218,500075,313,29.84,232752.0
339,504218,501203,311,31.01,458948.0
340,507101,500072,310,26.0,161201.66
341,508204,502113,304,30.48,188976.0
342,508204,503112,305,22.0,169399.99
343,508204,503187,366,32.0,710400.0
344,508204,516434,564,31.0,241800.0
345,508204,523116,327,12.0,184320.0
346,508204,524344,408,34.53,172649.99
347,508204,533401,400,26.5,182849.99
348,508204,533432,355,13.0,114228.20999999999
349,508204,572228,792,31.5,226630.34
350,508204,585402,364,8.0,45600.0
351,508204,764036,663,32.0,229760.0
352,508204,764047,383,32.0,829440.0
353,508218,560049,725,3.0,24192.0
354,508218,632007,553,36.0,271180.8
355,508246,502310,316,4.4,29920.0
356,508246,505214,311,35.0,640499.97
357,508246,505331,436,6.5,51349.38
358,508246,505331,436,30.0,170400.0
359,508246,505402,334,43.18,293624.01
360,508246,517325,637,31.0,204599.04
361,508246,531028,460,36.0,557280.0
362,508246,531031,464,35.66,184861.44
363,508246,531031,464,36.08,935193.6
364,515408,637301,520,40.04,304304.0
365,515408,560102,308,15.0,70636.8
366,515408,562108,392,5.0,71000.02
367,515408,562159,343,37.0,203499.99
368,515408,600004,434,27.24,207024.0
369,515408,613203,708,40.18,305368.0
370,515408,635115,360,16.0,118400.0
371,515408,635653,432,11.0,158400.0
372,515415,577139,601,31.0,458800.0
373,515415,600056,413,40.02,304152.0
374,515415,631501,364,44.94,341544.0
375,515415,641402,626,39.74,301822.06
376,515415,671316,647,39.38,346544.0
377,516289,572107,350,35.22,225408.0
378,516289,572201,418,7.0,35027.87
379,516289,573201,454,31.04,143032.32
380,516289,600118,333,130.0,3552706.56
381,516289,670504,599,39.94,335496.0
382,516309,744101,1766,30.0,5568000.0
383,516310,572114,423,18.0,150192.0
384,516311,560004,330,31.98,586629.51
385,516311,560097,322,31.88,229536.0
386,516311,673014,686,63.9,826866.0
387,516433,522004,436,32.0,161641.97
388,516433,560049,321,34.83,280730.0
389,516433,562112,364,36.0,273600.0
390,516433,571232,557,36.0,2315334.5300000003
391,516433,575001,663,12.0,86400.0
392,516433,581108,365,25.0,190000.0
393,516433,591136,461,30.73,158438.96
394,516433,591136,461,35.08,90433.43
395,516433,591136,461,35.29,454874.0
396,517503,462039,1439,8.5,60349.99
397,518003,563134,377,15.0,111000.0
398,518123,570015,428,26.0,155761.72
399,518123,575015,627,10.0,87600.0
400,518123,577533,369,7.48,34276.35
401,518123,577533,369,10.28,47107.07
402,518123,581204,375,40.86,302364.01
403,518123,603107,422,34.68,160915.2
404,518123,636115,514,25.7,670256.0
405,518124,563114,379,29.64,225264.0
406,518124,581320,605,32.0,230400.0
407,518124,606806,436,25.0,194300.16
408,518124,639117,617,10.0,159440.0
409,518206,560053,351,35.0,220499.99
410,518206,590006,486,35.35,140268.8
411,518206,688538,924,39.33,175018.37
412,518206,688538,924,39.66,176486.87
413,518220,570017,460,36.0,9748467.0
414,518220,577427,390,1.0,7140.0
415,518220,600055,420,27.5,200750.0
416,518220,635103,337,1.0,14420.0
417,518220,641664,650,1.0,7880.0
418,518220,670011,632,15.0,108600.0
419,518508,508213,401,30.0,702028.8
420,518508,517503,322,26.0,130000.0
421,518508,517589,379,35.72,264328.0
422,518508,534198,412,6.0,48000.0
423,518508,534447,410,10.0,80000.0
424,518508,562101,346,38.0,212040.0
425,518508,563116,390,40.36,266376.0
426,518508,583135,310,33.9,250860.0
427,518508,587101,369,34.0,530400.0
428,518508,591237,608,39.24,565056.0
429,518508,632506,386,35.29,268204.0
430,518508,642126,826,35.0,350000.0
432,521175,635110,801,69.85,544493.83
433,521457,414001,751,18.75,125252.0
434,521457,431401,606,36.0,201600.0
435,521457,517416,589,5.0,72000.0
436,521457,523230,310,27.0,345600.0
437,521457,531118,458,31.0,235604.0
438,521457,603107,594,14.0,74368.0
439,521457,603305,609,22.0,725189.0
440,521457,635301,850,16.0,140800.0
441,522414,494001,496,31.0,414160.19
442,522414,507136,450,11.0,1500619.87
443,522414,517501,409,35.77,148803.2
444,522414,531031,472,35.26,575443.2
445,522421,517640,401,12.0,90000.08
446,522437,494001,505,2.0,8091.52
447,522437,516630,380,15.0,118500.0
448,522437,533001,341,29.52,218448.0
449,522437,764061,543,34.84,773448.0
450,522614,516259,349,1.325,145750.0
451,522614,524302,330,1.8,360000.0
452,522614,535240,544,35.4,145140.0
453,524402,635751,315,25.0,240000.0
454,531055,761015,338,11.0,352660.03
455,531055,764056,301,20.0,168000.0
456,532201,508206,676,36.0,190798.85
457,533101,522647,312,36.0,244800.0
458,560043,582102,429,1.187,384322.11000000004
459,561203,574240,303,33.73,256348.02000000002
460,561213,600056,341,43.71,251419.91999999998
461,577201,591201,375,20.0,126000.0
462,583101,413001,363,20.0,293376.0
463,583115,581320,433,17.0,282200.0
464,583115,581343,377,17.0,693600.0
465,583222,573102,403,25.0,380006.4
466,583228,577101,304,33.0,264000.0
467,583228,581350,350,25.0,210000.0
468,583275,403803,383,35.64,242352.0
469,583275,562114,350,6.0,49198.08
470,583275,563114,404,15.0,117004.8
471,583275,577424,315,10.0,74995.2
