,start_pin,destination_pin,travel_distance,Quantity (In TON),period,nifty_infra_price,amount,distance_per_ton,route_frequency,avg_route_price,period_dt,year,month,month_sin,month_cos
37,249,927,653,20.0,November 2023,6585.6,122187.5,32.65,1,122187.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
38,250,1076,554,12.5,November 2023,6585.6,54687.5,44.32,1,54687.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
39,251,552,890,8.75,November 2023,6585.6,46484.38,101.71428571428571,1,46484.38,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
40,266,1120,302,25.0,October 2023,6095.4,170312.5,12.08,1,170312.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
41,281,619,429,45.0,October 2023,6095.4,118125.0,9.533333333333333,1,118125.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
42,296,3470,750,42.1,October 2023,6095.4,164190.0,17.814726840855105,1,164190.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
43,304,1450,442,40.0,October 2023,6095.4,180000.0,11.05,2,113062.5,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
44,316,1207,588,2.75,November 2023,6585.6,36093.75,213.8181818181818,1,36093.75,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
45,320,412,614,12.5,November 2023,6585.6,101952.5,49.12,1,101952.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
46,321,989,398,17.5,October 2023,6095.4,88867.19,22.742857142857144,2,77433.595,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
47,343,1123,679,590.1,November 2023,6585.6,2802975.0,1.1506524317912217,5,1642775.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
48,343,1502,328,40.0,October 2023,6095.4,212500.0,8.2,2,201406.25,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
49,343,1604,404,6.0,November 2023,6585.6,108656.25,67.33333333333333,5,170095.266,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
50,343,1629,329,13.0,November 2023,6585.6,543158.0,25.307692307692307,4,218914.4075,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
51,343,2157,387,41.0,October 2023,6095.4,389500.0,9.439024390243903,5,276000.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
52,343,3255,477,36.0,November 2023,6585.6,171000.0,13.25,4,159062.5,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
53,344,928,780,42.0,October 2023,6095.4,472500.0,18.571428571428573,1,472500.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
54,345,42,495,45.0,November 2023,6585.6,2778750.0,11.0,4,2355792.4699999997,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
55,345,54,427,45.21,October 2023,6095.4,254306.17,9.444813094448131,5,269845.406,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001
56,345,71,421,43.0,November 2023,6585.6,9994143.29,9.790697674418604,4,2678426.545,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384
