start_pin,destination_pin,bharat_sir_eway_data_apr23_may23_020424.origin_from_state,bharat_sir_eway_data_apr23_may23_020424.destination_from_state,bharat_sir_eway_data_apr23_may23_020424.rtn_period,travel_distance,bharat_sir_eway_data_apr23_may23_020424.transport_mode,bharat_sir_eway_data_apr23_may23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_apr23_may23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_apr23_may23_020424.total_tax,bharat_sir_eway_data_apr23_may23_020424.ewbs_count,bharat_sir_eway_data_apr23_may23_020424.supplier_gstin_cnt,Cost pre Km per TON,Average(Cost/KM/TON)
110042,411016,7,27,202305,1650,1,@2523,990,BAG,49.5,267300,74844,1,1,3.272727273,#DIV/0!
123305,152022,6,3,202305,387,1,@2523,10,MTS,10,61250,17150,1,1,15.82687339,
123305,152031,6,3,202305,338,1,@2523,21,MTS,21,128625,36015,1,1,18.12130178,
124106,144514,6,3,202305,370,1,@2523,10,TON,10,439076.54,122941.46,11,1,118.6693351,
124146,173025,6,2,202305,323,1,@2523,39.65,MTS,39.65,204445,57244.69,1,1,15.96359789,
124146,243635,6,9,202305,451,1,@2523,39.74,MTS,39.74,226642,63459.82,1,1,12.64549952,
127022,202002,6,9,202305,307,1,@2523,40,MTS,40,187440,52483.2,1,1,15.26384365,
140113,176309,3,2,202304,418,1,@2523,23.77,TON,23.77,117921.49,33018.01,1,1,11.8682721,
140113,182204,3,1,202304,617,1,@2523,23.55,TON,23.55,242859.38,68000.62,2,1,16.71393876,
140113,182204,3,1,202305,617,1,@2523,24.7,TON,24.7,127359.37,35660.63,1,1,8.356968878,
140113,182204,3,1,202305,617,1,@2523,31.16,TON,31.16,180143.75,50440.25,1,1,9.36993517,
140113,249192,3,5,202305,311,1,@2523,23.63,TON,23.63,131072.66,36700.34,1,1,17.83561144,
140114,182101,3,1,202305,388,2,@2523,329.5,TON,329.5,1185918.28,332057.12,1,1,9.276146927,
140117,190001,3,1,202305,552,1,@2523,15,MTS,15,88722.6,24842.33,1,1,10.71528986,
142038,247776,3,9,202304,327,1,@2523,300,BAG,15,86719,24281.32,1,1,17.67971458,
142050,242407,3,9,202304,710,1,@2523,675,BAG,33.75,203175,56889,1,1,8.478873239,
143001,171304,3,2,202304,361,1,@2523,2,BAG,0.1,1960.02,24252.8,2,1,54.29418283,
145001,185111,3,1,202304,342,1,@2523,11,TON,11,69609.37,19490.63,1,1,18.50328814,
171102,151002,2,3,202305,349,1,@2523,12.2,TON,12.2,191485.68,53615.98,3,1,44.97291559,
175018,172111,2,2,202305,348,1,@2523,12,TON,12,96993.74,27158.26,1,1,23.22647031,
175018,194101,2,38,202305,803,1,@2523,6,MTS,6,389437.5,109042.5,11,1,80.82970112,
175125,194101,2,38,202305,786,1,@2523,300,BAG,15,117000,32760,1,1,9.923664122,
181133,182204,1,1,202304,313,1,@2523,40,BAG,2,100000,28000,8,1,159.7444089,
181133,194101,1,38,202304,948,1,@2523,480,BAG,24,933724.8,0,6,1,41.03924051,
182101,194101,1,38,202305,868,1,@2523,18.75,TON,18.75,794531.25,222468.75,6,1,48.81912442,
182101,194103,1,38,202304,426,1,@2523,5,TON,5,35703.12,9996.88,1,1,16.76202817,
184102,185211,1,1,202305,303,1,@2523,100,BAG,5,27734,7765.52,1,1,18.30627063,
184143,185102,1,1,202304,339,1,@2523,140,BAG,7,43203.12,12096.88,1,1,18.20611884,
190010,194101,1,38,202305,669,1,@2523,203,BAG,10.15,64673.77,18108.66,1,1,9.524364723,
191202,194105,1,38,202305,327,1,@2523,0,   ,,439160,122964.8,7,1,,
201304,440008,9,27,202304,1038,1,@2523,1180,   ,,330400,92512,1,1,,
202122,262202,9,9,202304,301,1,@2523,30,TON,30,167344,46856,1,1,18.53200443,
202127,247340,9,9,202304,301,1,@2523,21,TON,21,257250.01,72030,2,1,40.697676,
202143,262523,9,5,202305,382,1,@2523,31,MTS,31,422375,118265,3,1,35.66753927,
203205,212635,9,9,202305,524,1,@2523,20,MTS,20,101875,28525,1,1,9.720896947,
203205,226012,9,9,202305,522,1,@2523,17,MTS,17,90578,25361.84,1,1,10.20712193,
203205,226017,9,9,202305,515,1,@2523,35,MTS,35,371000,103880,2,1,20.58252427,
203205,227409,9,9,202304,632,1,@2523,20,MTS,20,106000,29680,1,1,8.386075949,
203205,262001,9,9,202304,301,1,@2523,25,MTS,25,2933281.43,821318.8,22,1,389.8048412,
203207,261001,9,9,202304,423,1,@2523,3,TON,3,18375,5145,1,1,14.47990544,
210341,262701,9,9,202304,316,1,@2523,10,TON,10,240312.5,67287.5,4,1,76.04825949,
210341,272208,9,9,202304,458,1,@2523,21,TON,21,140437.5,39322.5,1,1,14.60152838,
211003,227305,9,9,202304,800,1,@2523,6.2,MTS,6.2,18600,0,1,1,3.75,
212107,206246,9,9,202304,354,1,@2523,15,MTS,15,346406.4,96993.8,4,1,65.23661017,
212107,209312,9,9,202304,303,1,@2523,25,MTS,25,441015.75,123484.44,3,1,58.21990099,
212107,284003,9,9,202305,470,2,@2523,1815.2,MTS,1815.2,8123709.78,0,1,1,9.522085111,
212107,800014,9,10,202305,400,2,@2523,2228.6,MTS,2228.6,11178813.6,3130067.81,1,1,12.540175,
221110,241204,9,9,202304,446,1,@2523,500,BAG,25,718750.01,201250.04,7,1,64.4618843,
221110,829117,9,20,202304,360,1,@2523,31.08,MTS,31.08,125874,35244.72,1,1,11.25,
221401,243639,9,9,202305,654,1,@2523,25,MTS,25,400000,112000,4,1,24.4648318,
224238,241403,9,9,202304,320,1,@2523,10,MTS,10,60625,16975,1,1,18.9453125,
226001,302002,9,8,202305,578,1,@2523,1.45,MTS,1.45,3398.44,951.56,1,1,4.054933779,
226008,231001,9,9,202304,371,1,@2523,700,BAG,35,328125,91875,2,1,25.26954178,
226021,274402,9,9,202305,330,1,@2523,250,BAG,12.5,73242.5,20507.9,1,1,17.75575758,
227409,301701,8,8,202305,708,1,@2523,34.36,TON,34.36,42950,12026,1,1,1.765536723,
227409,302039,8,8,202304,700,1,@2523,33.82,TON,33.82,43102.91,12068.82,1,1,1.820685562,
227409,206001,9,9,202304,340,1,@2523,2,TON,2,6963.75,1949.86,2,2,10.24080882,
227409,206001,9,9,202305,340,1,@2523,21,TON,21,221809.21,28,4,2,31.06571569,
229301,272204,9,9,202305,324,1,@2523,200,BAG,10,58593.8,16406.26,1,1,18.08450617,
229303,233302,9,9,202305,327,1,@2523,2,mts,2,6035.56,1689.96,1,1,9.228685015,
229303,274407,9,9,202304,420,1,@2523,20,MTS,20,392812.5,109987.5,3,1,46.76339286,
231207,272002,9,9,202304,330,1,@2523,34.5,MTS,34.5,219719.12,0,1,1,19.29900044,
231304,273164,9,9,202304,328,1,@2523,5,MTS,5,32734.38,9165.62,1,1,19.9599878,
246179,181201,5,1,202304,749,1,@2523,76,BAG,3.8,19000,17282.8,1,1,6.675567423,
262309,262545,5,5,202305,305,1,@2523,500,BAG,25,156250,43750,1,1,20.49180328,
273164,800007,36,10,202305,435,1,@2523,500,BAG,25,242190,67813.2,2,1,22.27034483,
283202,232109,9,9,202304,680,1,@2523,550,BAG,27.5,159500,44660,1,1,8.529411765,
284121,210125,9,9,202304,353,1,@2523,18.5,TON,18.5,102217,28620,1,1,15.65224715,
284121,241001,9,9,202305,325,1,@2523,2523,MTS,2523,280000,0,1,1,0.341473825,
302007,314011,8,8,202304,498,1,@2523,266,BAG,13.3,106400,29792,1,1,16.06425703,
303108,140301,8,3,202304,407,1,@2523,40.8,MTS,40.8,235875,66045,1,1,14.20454545,
303108,328001,8,8,202305,350,1,@2523,35.8,MTS,35.8,212562.5,59517.5,1,1,16.96428571,
303108,328041,8,8,202304,340,1,@2523,15,MTS,15,89296.95,25003.16,1,1,17.50920588,
303108,335504,8,8,202305,353,1,@2523,10,MTS,10,303437.6,84962.56,5,1,85.95966006,
305901,203205,8,9,202305,518,1,@2523,44.13,MTS,44.13,154455,43247.4,1,1,6.756756757,
305901,203205,8,9,202305,518,1,@2523,45.08,MTS,45.08,157780,44178.4,1,1,6.756756757,
305901,208001,8,9,202304,733,2,@2523,62.9,MTS,62.9,308210,86298.8,1,1,6.684856753,
305901,208001,8,9,202305,733,2,@2523,527.2,MTS,527.2,2583280,0,1,1,6.684856753,
305901,209625,8,9,202304,642,2,@2523,319.5,MTS,319.5,3131100,876708,2,1,15.26479751,
305901,273007,8,9,202304,1065,2,@2523,127.8,MTS,127.8,626220,175341.6,1,1,4.600938967,
305901,282001,8,9,202304,428,2,@2523,395.4,MTS,395.4,1937460,542488.8,1,1,11.44859813,
305901,327001,8,8,202304,370,1,@2523,5,MTS,5,24500,6860,1,1,13.24324324,
305901,327022,8,8,202305,385,1,@2523,25,MTS,25,134375,37625,1,1,13.96103896,
305901,465674,8,23,202305,478,1,@2523,5,MTS,5,54375.25,15225.07,2,1,22.75115063,
306101,124103,8,6,202305,446,1,@2523,39.97,MTS,39.97,215463.28,60329.72,1,1,12.08660307,
306101,144221,8,3,202304,920,1,@2523,45,MTS,45,1256486,351819,5,1,30.34990338,
306101,203205,8,9,202304,528,1,@2523,44.68,MTS,44.68,625520,175148,4,1,26.51515152,
306101,331025,8,8,202304,411,1,@2523,45,MTS,45,225000,63000,1,1,12.16545012,
306107,122103,8,6,202305,439,1,@2523,30,MTS,30,531094,148706.32,3,1,40.32604404,
306107,123027,8,6,202305,388,1,@2523,41.5,MTS,41.5,1514101.7,423948.49,7,1,94.03190287,
306107,123501,8,6,202304,363,1,@2523,42,MTS,42,1179280.5,330198.54,5,1,77.35015742,
306107,125113,8,6,202305,490,1,@2523,39.38,MTS,39.38,206129.47,57716.25,1,1,10.68238669,
306107,132105,8,6,202305,541,1,@2523,41.5,MTS,41.5,4617392.31,1292869.86,21,1,205.6607492,
306107,136135,8,6,202305,632,1,@2523,38.84,MTS,38.84,206337.45,57774.49,1,1,8.405852393,
306107,144523,8,3,202305,739,1,@2523,35,MTS,35,171500,48020,1,1,6.630581867,
306107,151401,8,3,202305,525,1,@2523,43.74,MTS,43.74,179990.1,50397.23,1,1,7.838095238,
306107,201009,8,9,202305,484,2,@2523,257.6,MTS,257.6,1262240,353427.2,1,1,10.12396694,
306107,201009,8,9,202305,484,2,@2523,392.4,MTS,392.4,3845520,1076745.6,2,1,20.24793388,
306107,203205,8,9,202305,528,1,@2523,44.06,MTS,44.06,1079470,302251.6,7,1,46.40151515,
306107,244412,8,9,202304,613,1,@2523,15,MTS,15,102656.25,28743.75,1,1,11.16435563,
306107,301030,8,8,202305,339,1,@2523,45,MTS,45,6174000,1728720,28,1,404.719764,
306107,301030,8,8,202305,351,1,@2523,41.5,MTS,41.5,801468.88,224411.3,4,1,55.02137645,
306107,301707,8,8,202304,386,1,@2523,41.1,MTS,41.1,143850,0,1,1,9.067357513,
306107,301707,8,8,202305,386,1,@2523,47.01,MTS,47.01,329070,0,2,1,18.13471503,
306107,321401,8,8,202304,392,1,@2523,5,MTS,5,27656.25,7743.76,1,1,14.11033163,
306107,321404,8,8,202305,425,1,@2523,25,MTS,25,300000,84000,2,1,28.23529412,
306107,325215,8,8,202305,340,1,@2523,45,MTS,45,1075782.05,301218.98,6,1,70.31255229,
306107,334023,8,8,202305,368,1,@2523,13,MTS,13,146249,40949.72,2,1,30.57044314,
306107,335804,8,8,202304,418,1,@2523,43.75,MTS,43.75,153125,0,1,1,8.373205742,
306107,335804,8,8,202305,418,1,@2523,44.85,MTS,44.85,2040675,0,13,1,108.8516746,
306107,335804,8,8,202304,418,1,@2523,45.08,MTS,45.08,2997820,0,19,1,159.0909091,
306107,335804,8,8,202305,418,1,@2523,46.7,MTS,46.7,163450,0,1,1,8.373205742,
306107,335804,8,8,202304,418,1,@2523,47.33,MTS,47.33,331310,0,2,1,16.74641148,
306107,344001,8,8,202304,338,1,@2523,20,MTS,20,319125,89355,3,1,47.20784024,
306107,344701,8,8,202304,378,1,@2523,5.5,MTS,5.5,30594,8566.32,1,1,14.71572872,
306107,345001,8,8,202304,426,1,@2523,35,MTS,35,579468.25,162251.12,4,1,38.86440309,
306107,385535,8,24,202304,371,1,@2523,12,MTS,12,71812.5,20107.5,1,1,16.13039084,
306308,124507,8,6,202305,510,1,@2523,42,MTS,42,213281.25,59718.75,1,1,9.957107843,
306308,152128,8,3,202305,526,1,@2523,20,MTS,20,107968.75,30231.25,1,1,10.26318916,
306308,201017,8,9,202305,535,1,@2523,42.5,MTS,42.5,235742.19,66007.81,1,1,10.36799076,
306308,202280,8,9,202304,694,1,@2523,25,MTS,25,149609.37,41890.63,1,1,8.623018444,
306308,301404,8,8,202305,406,1,@2523,5,MTS,5,56328.12,15771.88,2,1,27.74784236,
306308,334305,8,8,202305,380,1,@2523,15,MTS,15,88593.74,24806.26,1,1,15.5427614,
306308,335063,8,8,202305,502,1,@2523,42.71,MTS,42.71,213550,59794,1,1,9.960159363,
306308,343029,8,8,202305,301,1,@2523,35,MTS,35,328125,91875,3,1,31.1461794,
306308,385550,8,24,202304,423,1,@2523,17.5,MTS,17.5,109648.44,30701.56,1,1,14.81235258,
306709,132107,8,6,202305,591,1,@2523,41.79,MTS,41.79,752220,210621.6,6,1,30.45685279,
306709,151001,8,3,202304,574,1,@2523,40.08,TON,40.08,176352,49378.56,1,1,7.665505226,
306709,201008,8,9,202304,572,1,@2523,42.22,MTS,42.22,689283.72,192999.48,6,1,28.54195804,
306709,304021,8,8,202305,324,1,@2523,14,TON,14,82687.5,23152.5,1,1,18.22916667,
306709,304021,8,8,202305,324,1,@2523,15,TON,15,84609.38,23690.62,1,1,17.40933745,
306709,314401,8,8,202305,399,1,@2523,8,TON,8,44500,12460,1,1,13.94110276,
306709,322029,8,8,202305,373,1,@2523,24,TON,24,145875,40845,1,1,16.29524129,
306709,322201,8,8,202304,342,1,@2523,22,TON,22,126843.74,35516.26,1,1,16.8585513,
306709,327001,8,8,202305,410,1,@2523,31,TON,31,411718.76,115281.24,3,1,32.39329347,
306709,333001,8,8,202304,307,1,@2523,6,TON,6,26250,7350,2,1,14.25081433,
306709,335511,8,8,202305,423,1,@2523,22,MTS,22,128218.86,35901.3,1,1,13.77808511,
306709,345023,8,8,202305,326,1,@2523,17,MTS,17,105984.46,29675.66,1,1,19.12386503,
306709,383001,8,24,202304,447,1,@2523,35,TON,35,700672.28,196188.25,4,1,44.78570022,
306709,383315,8,24,202305,450,1,@2523,3,TON,3,13234.55,3705.67,1,1,9.80337037,
306709,385535,8,24,202304,413,1,@2523,43,TON,43,1325122.72,371034.36,7,1,74.61696717,
307019,321201,8,8,202305,643,1,@2523,15,MTS,15,86953.12,24346.88,1,1,9.01535718,
307019,321602,8,8,202304,617,1,@2523,42,MTS,42,244125,68355,1,1,9.420583468,
307019,325220,8,8,202304,525,1,@2523,15,MTS,15,81796.86,22903.12,1,1,10.38690286,
307019,331022,8,8,202304,503,1,@2523,10,MTS,10,116875,32725,2,1,23.23558648,
307019,360050,8,24,202304,432,1,@2523,7,MTS,7,43203.12,12096.87,1,1,14.28674603,
307019,363650,8,24,202304,435,1,@2523,25,MTS,25,138671.87,38828.12,1,1,12.75143632,
307019,364240,8,24,202305,419,1,@2523,37.12,MTS,37.12,220400,61712,1,1,14.17064439,
307019,364240,8,24,202304,419,1,@2523,41.16,MTS,41.16,221878.12,62125.87,1,1,12.86545317,
307019,370110,8,24,202304,402,1,@2523,26,MTS,26,145031.25,40608.75,1,1,13.87593284,
307019,390001,8,24,202304,349,2,@2523,131.8,MTS,131.8,892327.18,249851.62,2,1,19.39917605,
307019,395003,8,24,202305,498,1,@2523,41.62,MTS,41.62,455809.32,127626.62,4,1,21.99134452,
307031,388245,8,24,202305,354,1,@2523,39.88,MTS,39.88,86957.14,24348,1,1,6.159519519,
312021,125033,8,6,202305,586,1,@2523,14.5,TON,14.5,169468.76,47451.24,2,1,19.94454043,
312021,202001,8,9,202305,718,2,@2523,524.2,TON,524.2,4297029.9,1203168.37,2,1,11.41686629,
312021,325220,8,8,202304,330,1,@2523,13,TON,13,69265.62,19394.38,1,1,16.14583217,
312021,333001,8,8,202305,470,1,@2523,43,MTS,43,127990.36,0,1,1,6.333021277,
312021,333001,8,8,202304,495,1,@2523,42,TON,42,1729570.08,0,13,1,83.19240404,
312021,335803,8,8,202305,674,1,@2523,25,TON,25,147656.24,41343.76,1,1,8.762981602,
312021,341316,8,8,202305,364,1,@2523,42,TON,42,367500,102900,2,1,24.03846154,
312021,342005,8,8,202304,315,1,@2523,41.71,TON,41.71,270463.28,75729.72,1,1,20.58531737,
312021,344037,8,8,202305,466,1,@2523,20,TON,20,118750,33250,1,1,12.74141631,
312021,384001,8,24,202305,383,1,@2523,42.5,TON,42.5,395958.48,110868.37,2,1,24.32550945,
312021,387120,8,24,202304,392,1,@2523,40.53,TON,40.53,227981.25,63834.75,1,1,14.3494898,
312021,388001,8,24,202304,393,1,@2523,39.32,TON,39.32,448493.76,125578.24,2,1,29.02353754,
312021,391240,8,24,202304,460,1,@2523,42.63,TON,42.63,723377.82,202545.78,3,1,36.88858734,
312601,110044,8,7,202305,615,1,@2523,44.44,MTS,44.44,503422,140958.12,2,1,18.41972002,
312601,110044,8,7,202305,615,1,@2523,45.66,MTS,45.66,263972,73912.13,1,1,9.400410955,
312601,122001,8,7,202304,576,1,@2523,4,MTS,4,16750,4690,1,1,7.269965278,
312601,125047,8,6,202305,742,1,@2523,39.46,MTS,39.46,437760,122572.62,2,1,14.9511669,
312601,144626,8,3,202304,1025,1,@2523,39.58,MTS,39.58,235006,65801.75,1,1,5.792676765,
312601,201309,8,9,202304,620,1,@2523,40.84,MTS,40.84,231320,64769.69,1,1,9.135572336,
312601,201309,8,9,202305,620,1,@2523,44.46,MTS,44.46,251824,70510.78,1,1,9.135576742,
312601,251002,8,9,202304,791,1,@2523,39.8,MTS,39.8,239422,67038.13,1,1,7.605092466,
312601,263139,8,5,202305,930,1,@2523,42,MTS,42,249375,69825,1,1,6.384408602,
312601,301001,8,8,202305,494,1,@2523,44.6,MTS,44.6,243906,68293.76,1,1,11.07033278,
312601,301408,8,8,202304,470,1,@2523,30,MTS,30,201420,0,1,1,14.28510638,
312601,302001,8,8,202304,349,1,@2523,39.46,MTS,39.46,419263,117393.5,2,1,30.44416238,
312601,304001,8,8,202305,337,1,@2523,18,MTS,18,94641,26499.38,1,1,15.60187933,
312601,306422,8,8,202305,356,1,@2523,7,MTS,7,87948,0,2,1,35.29213483,
312601,321608,8,8,202304,466,1,@2523,5,MTS,5,130590,0,4,1,56.0472103,
312601,322001,8,8,202305,358,1,@2523,10,MTS,10,53047,14853.12,1,1,14.81759777,
312601,322023,8,8,202305,396,1,@2523,39.22,MTS,39.22,199164,55765.94,1,1,12.82354396,
312601,325218,8,8,202305,303,1,@2523,3,MTS,3,15703,4396.88,1,1,17.2750275,
312601,326038,8,8,202304,320,1,@2523,39.3,MTS,39.3,178078,49861.88,1,1,14.16014631,
312601,331303,8,8,202305,500,1,@2523,19,MTS,19,109250,30590,1,1,11.5,
312601,332402,8,8,202305,423,1,@2523,39.64,MTS,39.64,176522,49426.12,1,1,10.52748972,
312601,333026,8,8,202305,557,1,@2523,10,MTS,10,722972,202431.26,13,1,129.7974865,
312601,334803,8,8,202304,449,1,@2523,25,MTS,25,303906,85093.76,2,1,27.07403118,
312601,335038,8,8,202305,763,1,@2523,11,MTS,11,961469,269211.24,16,1,114.5560586,
312601,335523,8,8,202304,610,1,@2523,45,MTS,45,277031,77568.76,1,1,10.09220401,
312601,341028,8,8,202304,350,1,@2523,9.5,MTS,9.5,51656,14463.76,1,1,15.5356391,
312601,341305,8,8,202305,364,1,@2523,6,MTS,6,137156,38403.78,4,1,62.8003663,
312601,344031,8,8,202304,471,1,@2523,27,MTS,27,165375,46305,1,1,13.00424628,
312601,364001,8,24,202304,570,1,@2523,45.26,MTS,45.26,258123,72274.56,1,1,10.0054655,
312601,364290,8,24,202304,664,1,@2523,24,MTS,24,201075,56300.97,2,1,12.61765813,
312601,380001,8,24,202304,387,1,@2523,44.96,MTS,44.96,256413,71795.5,1,1,14.73678584,
312601,382010,8,24,202304,369,1,@2523,44.66,MTS,44.66,251213,70339.5,1,1,15.24393278,
312601,382355,8,24,202304,366,1,@2523,30.44,MTS,30.44,124519,34865.26,1,1,11.1766047,
312601,387620,8,24,202304,355,1,@2523,41.32,MTS,41.32,235653,65982.88,1,1,16.06513232,
312601,391520,8,24,202304,503,1,@2523,38.66,MTS,38.66,223503,62580.88,1,1,11.49353234,
312601,394516,8,24,202305,655,1,@2523,39.56,MTS,39.56,225616,63172.38,1,1,8.707075541,
312601,396421,8,24,202304,664,1,@2523,30.68,MTS,30.68,185998,52079.3,1,1,9.130295628,
312601,396421,8,24,202304,664,1,@2523,45.68,MTS,45.68,276935,77541.8,1,1,9.130271084,
312601,452002,8,23,202305,302,1,@2523,45.42,MTS,45.42,205809,57626.62,1,1,15.00411173,
312601,461331,8,23,202305,459,1,@2523,45.34,MTS,45.34,240869,67443.25,1,1,11.57408609,
312601,474001,8,23,202304,612,1,@2523,39.5,MTS,39.5,220953,61866.88,1,1,9.140109208,
312617,302013,8,8,202305,351,1,@2523,43,TON,43,148746.4,0,1,1,9.85532366,
312617,304502,8,8,202305,328,1,@2523,44,TON,44,284790,0,2,1,19.73323171,
312617,328024,8,8,202305,614,1,@2523,42,TON,42,334707.18,0,2,1,12.97918334,
312617,331027,8,8,202305,549,1,@2523,42,TON,42,210000,58800,1,1,9.107468124,
312617,332401,8,8,202304,496,1,@2523,15,TON,15,94453.13,26446.88,1,1,12.69531317,
312617,341028,8,8,202305,343,1,@2523,15,TON,15,178125,49875,2,1,34.62099125,
312617,342306,8,8,202304,416,1,@2523,20,TON,20,488750,136850,4,1,58.74399038,
312617,394510,8,24,202305,656,1,@2523,42,TON,42,1843406.25,516153.75,7,1,66.90644055,
312620,110041,8,7,202304,620,1,@2523,44.46,TON,44.46,1205282.82,337479.18,5,1,43.72479866,
312620,124507,8,6,202305,606,1,@2523,44,TON,44,2059062.5,576537.5,9,1,77.22256601,
312620,125111,8,6,202304,750,1,@2523,29,TON,29,184421.88,51638.13,1,1,8.479166897,
312620,126102,8,6,202304,669,1,@2523,44,TON,44,704687.5,197312.5,4,1,23.93964873,
312620,126116,8,6,202304,706,1,@2523,43.5,TON,43.5,723867.19,202682.81,3,1,23.57029045,
312620,132039,8,6,202304,710,1,@2523,15,TON,15,98671.88,27628.13,1,1,9.264965258,
312620,132103,8,6,202304,688,1,@2523,42.8,TON,42.8,760368.75,212903.25,3,1,25.82212936,
312620,281201,8,9,202305,660,1,@2523,22.5,TON,22.5,548437.52,153562.52,4,1,36.93181953,
312620,301701,8,8,202305,473,1,@2523,39.38,TON,39.38,195054.06,54615.14,1,1,10.47172291,
312620,334023,8,8,202305,653,1,@2523,42,TON,42,213281.24,59718.76,1,1,7.776607599,
312620,335001,8,8,202304,748,1,@2523,43,MTS,43,0,0,1,1,0,
312620,345021,8,8,202305,519,1,@2523,15,MTS,15,165351.56,46298.44,2,1,21.23976365,
312620,382210,8,24,202304,416,1,@2523,40.75,MTS,40.75,232402.34,65072.66,1,1,13.70943487,
312620,382421,8,24,202304,460,1,@2523,42,MTS,42,505968.75,141671.25,2,1,26.1888587,
312620,382715,8,24,202304,412,1,@2523,39.1,MTS,39.1,216883.2,60727.19,1,1,13.46331289,
312620,383205,8,24,202304,333,1,@2523,42.71,MTS,42.71,790562.1,221357.4,6,1,55.58558559,
312620,383205,8,24,202305,333,1,@2523,42.91,MTS,42.91,132377.35,37065.66,1,1,9.264264264,
312620,385320,8,24,202304,430,1,@2523,42,MTS,42,513187.5,143692.5,2,1,28.41569767,
312620,388255,8,24,202305,363,1,@2523,42.66,TON,42.66,994624.75,278494.95,9,1,64.22909248,
312620,388255,8,24,202305,363,1,@2523,44.5,TON,44.5,1147808.97,321386.48,10,1,71.05636364,
312620,392012,8,24,202305,580,1,@2523,44.6,TON,44.6,236937.5,66342.5,1,1,9.159482759,
312620,451337,8,23,202305,414,1,@2523,40,TON,40,206250,57750,1,1,12.45471014,
312620,454111,8,23,202304,344,1,@2523,17,MTS,17,93101.56,26068.44,1,1,15.9202394,
312620,457661,8,23,202304,392,1,@2523,41,TON,41,410000,114800,2,1,25.51020408,
312620,476001,8,23,202304,672,1,@2523,41.5,MTS,41.5,123006,34441.68,1,1,4.410714286,
312620,477331,8,23,202304,710,1,@2523,15,MTS,15,84960.94,23789.06,1,1,7.977553052,
312622,122001,8,6,202305,558,1,@2523,39.89,MTS,39.89,224381.25,62826.75,1,1,10.08064516,
312622,124106,8,6,202305,584,1,@2523,40.2,MTS,40.2,226125,63315,1,1,9.631849315,
312622,201008,8,9,202304,669,1,@2523,42.35,MTS,42.35,115234.35,32265.62,1,1,4.067264574,
312622,201008,8,9,202305,669,1,@2523,4088.11,MTS,4088.11,1827385170,511667847.6,149,1,668.161435,
312622,249201,8,5,202304,877,1,@2523,270,MTS,270,37842187.5,10595812.5,23,1,159.8132839,
312622,263153,8,5,202304,872,2,@2523,139.7,MTS,139.7,1672639.28,468339,2,1,13.73059636,
312622,303007,8,8,202305,303,1,@2523,35,MTS,35,196875,55125,1,1,18.56435644,
312622,388245,8,24,202305,402,1,@2523,39.97,MTS,39.97,119910,33574.8,1,1,7.462686567,
312622,393001,8,24,202304,563,1,@2523,27,MTS,27,303750,85050,2,1,19.98223801,
312622,474001,8,23,202304,597,1,@2523,39.05,MTS,39.05,178165.63,49886.38,1,1,7.642378774,
312622,474001,8,23,202304,597,1,@2523,39.79,MTS,39.79,203923.75,57098.65,1,1,8.584589615,
313022,123305,8,6,202305,614,1,@2523,42.4,MTS,42.4,678399.36,189951.84,5,1,26.05860734,
313022,304001,8,8,202304,399,1,@2523,35,MTS,35,668486.7,0,6,1,47.8687218,
313022,304021,8,8,202305,425,1,@2523,35,MTS,35,504240.62,42109.38,4,1,33.89852908,
313022,333001,8,8,202304,572,1,@2523,42.1,MTS,42.1,176820,49509.6,1,1,7.342657343,
313022,334803,8,8,202304,449,1,@2523,42.02,MTS,42.02,176484,49415.52,1,1,9.354120267,
313022,335526,8,8,202305,766,1,@2523,10,MTS,10,169062.48,47337.48,3,1,22.07081984,
313022,370110,8,24,202305,525,1,@2523,30,MTS,30,109620.6,30693.77,1,1,6.960038095,
313022,370415,8,24,202305,573,1,@2523,40.12,MTS,40.12,144432,40440.96,1,1,6.282722513,
313201,335037,8,8,202305,897,1,@2523,21,MTS,21,155565.48,0,2,1,8.258506132,
313201,335037,8,8,202304,897,1,@2523,42,MTS,42,3680040,0,26,1,97.68115942,
313325,304001,8,8,202305,327,1,@2523,11,MTS,11,57234,16025.52,1,1,15.91159299,
323603,456443,8,23,202304,332,1,@2523,40,TON,40,217500,60900,1,1,16.37801205,
324004,110040,8,7,202304,564,1,@2523,13,TON,13,46800,13104,1,1,6.382978723,
326520,341509,8,8,202304,439,1,@2523,15,TON,15,55350,0,1,1,8.40546697,
326520,457887,8,23,202304,519,1,@2523,6,TON,6,31219,8741,1,1,10.0253693,
326520,473331,8,23,202305,313,1,@2523,35,TON,35,2941236,823546,21,1,268.4834322,
326520,473443,8,23,202304,416,1,@2523,35,TON,35,159687,44713,1,1,10.96751374,
327025,392012,8,24,202304,340,1,@2523,38.22,MTS,38.22,206029.69,57688.31,1,1,15.8547796,
327025,392012,8,24,202305,340,1,@2523,38.43,MTS,38.43,204159.38,57164.63,1,1,15.62500038,
327025,392110,8,24,202305,319,1,@2523,17,MTS,17,208420,58357.6,2,1,38.43260188,
327025,451447,8,23,202304,348,1,@2523,38,MTS,38,498750,139650,3,1,37.71551724,
334601,306401,8,8,202305,408,1,@2523,4,MTS,4,57377.32,16065.66,1,1,35.15767157,
