start_pin,destination_pin,bharat_sir_eway_data_oct23_nov23_020424.origin_from_state,bharat_sir_eway_data_oct23_nov23_020424.destination_from_state,bharat_sir_eway_data_oct23_nov23_020424.rtn_period,travel_distance,bharat_sir_eway_data_oct23_nov23_020424.transport_mode,bharat_sir_eway_data_oct23_nov23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_oct23_nov23_020424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_oct23_nov23_020424.total_tax,bharat_sir_eway_data_oct23_nov23_020424.ewbs_count,bharat_sir_eway_data_oct23_nov23_020424.supplier_gstin_cnt,Cost pre Km per TON
306107,132041,8,6,202310,597,1,@2523,41.73,MTS,41.73,469462.35,131449.46,2,1,18.84421508
306107,132105,8,6,202311,541,1,@2523,44.64,MTS,44.64,312480,87494.4,2,1,12.93900185
306107,132105,8,6,202311,552,1,@2523,45.48,MTS,45.48,159180,44570.4,1,1,6.34057971
306107,132105,8,6,202310,552,1,@2523,47.72,MTS,47.72,167020,46765.6,1,1,6.34057971
306107,135003,8,8,202310,644,1,@2523,35,MTS,35,166250,46550,1,1,7.375776398
306107,135021,8,6,202310,672,1,@2523,45.16,MTS,45.16,254025,71127,1,1,8.370535714
306107,140603,8,3,202310,671,1,@2523,22.5,MTS,22.5,163125,45675,1,1,10.804769
306107,147001,8,3,202310,614,1,@2523,45.8,MTS,45.8,261203.14,73136.88,1,1,9.288477732
306107,152002,8,8,202310,637,1,@2523,45,MTS,45,213750,59850,1,1,7.456828885
306107,201310,8,8,202311,520,1,@2523,42,MTS,42,1995000,558600,10,1,91.34615385
306107,203205,8,9,202310,528,1,@2523,40.46,MTS,40.46,141610,39650.8,1,1,6.628787879
306107,203205,8,9,202310,528,1,@2523,41.81,MTS,41.81,292670,81947.6,2,1,13.25757576
306107,203205,8,9,202310,528,1,@2523,44.73,MTS,44.73,469665,131506.2,3,1,19.88636364
306107,203205,8,9,202310,528,1,@2523,45.81,MTS,45.81,641340,179575.2,4,1,26.51515152
306107,247662,8,8,202311,700,1,@2523,45,MTS,45,213750,59850,1,1,6.785714286
306107,301702,8,8,202310,387,1,@2523,700,BAG,35,196875,55125,1,1,14.53488372
306107,301707,8,8,202311,386,1,@2523,44.04,MTS,44.04,1233120,0,8,1,72.5388601
306107,301707,8,8,202311,386,1,@2523,47.04,MTS,47.04,329280,0,2,1,18.13471503
306107,322220,8,8,202310,346,1,@2523,15,MTS,15,93047,26053.16,1,1,17.92813102
306107,325004,8,8,202311,304,1,@2523,10,MTS,10,59687.5,16712.5,1,1,19.63404605
306107,334023,8,8,202311,368,1,@2523,10,MTS,10,499220.5,139781.74,8,1,135.6577446
306107,335804,8,8,202311,418,1,@2523,40.08,MTS,40.08,140280,0,1,1,8.373205742
306107,380001,8,24,202311,502,1,@2523,41.98,MTS,41.98,459156.26,128563.76,2,1,21.78784908
306107,382427,8,24,202310,507,1,@2523,21,MTS,21,99750,27930,1,1,9.368836292
306107,454660,8,23,202310,465,1,@2523,40.24,MTS,40.24,383537.28,107390.44,2,1,20.49730007
306308,126102,8,6,202310,573,1,@2523,41,MTS,41,199629,55896.12,1,1,8.497382199
306308,127306,8,6,202310,471,1,@2523,41.91,MTS,41.91,126700.82,35476.18,1,1,6.418608068
306308,134003,8,6,202310,718,1,@2523,22.5,MTS,22.5,85950,24066,1,1,5.320334262
306308,301402,8,8,202310,370,1,@2523,33,MTS,33,209343.78,58616.26,1,1,17.14527273
306308,301406,8,8,202311,390,1,@2523,10,MTS,10,110468.74,30931.26,2,1,28.32531795
306308,332021,8,8,202311,359,1,@2523,36,MTS,36,0,0,45,1,0
306308,333702,8,8,202310,392,1,@2523,36,MTS,36,826875,231525,5,1,58.59375
306308,335051,8,8,202311,442,1,@2523,5,MTS,5,33515.72,9384.38,1,1,15.16548416
306308,335073,8,8,202311,544,1,@2523,36,MTS,36,188437.5,52762.5,1,1,9.622012868
306308,335523,8,8,202310,433,1,@2523,43,MTS,43,228437.5,63962.5,1,1,12.26905312
306308,344001,8,8,202310,305,1,@2523,25,MTS,25,144141.12,40359.38,1,1,18.90375344
306308,345001,8,8,202310,448,1,@2523,31,MTS,31,189874.96,53165,1,1,13.67187212
306709,203205,8,9,202311,573,1,@2523,42.17,MTS,42.17,460833.76,129033.48,4,1,19.07155323
306709,301019,8,8,202310,437,1,@2523,41.08,MTS,41.08,418707.9,61106.5,2,1,23.32379863
306709,343040,8,8,202311,349,1,@2523,22,TON,22,138531.24,38788.76,1,1,18.04262047
307019,152023,8,3,202310,917,1,@2523,22,MTS,22,146781.25,41098.75,1,1,7.275763359
307019,302037,8,8,202311,427,1,@2523,40.83,MTS,40.83,204150,57162,1,1,11.70960187
307019,322230,8,8,202310,603,1,@2523,20,MTS,20,246875,69125,2,1,20.47056385
307019,331502,8,8,202311,465,1,@2523,10,MTS,10,199218.72,55781.22,3,1,42.84273548
307019,335523,8,8,202310,697,1,@2523,14,MTS,14,94718.74,26521.24,1,1,9.706778028
307019,362037,8,24,202310,554,1,@2523,31,MTS,31,92599.48,25927.85,1,1,5.391841155
307019,362560,8,24,202310,579,1,@2523,34,MTS,34,210056.42,58815.8,2,1,10.67034542
307019,364515,8,24,202310,500,1,@2523,30,MTS,30,185582.1,51962.99,2,1,12.37214
307019,388510,8,24,202310,341,1,@2523,15,MTS,15,97265.62,27234.37,1,1,19.01576149
307019,390020,8,24,202311,353,1,@2523,36.66,MTS,36.66,206212.5,57739.5,1,1,15.93484419
307031,344001,8,8,202311,316,1,@2523,40.95,MTS,40.95,422296.88,118243.16,2,1,32.63449406
307031,382250,8,24,202310,372,1,@2523,29.6,MTS,29.6,354393.4,99230.16,2,1,32.18481183
307031,388245,8,24,202310,354,1,@2523,39.91,MTS,39.91,174045.12,48732.64,2,1,12.31903987
312021,125052,8,6,202310,703,1,@2523,34.5,TON,34.5,204304.69,57205.31,1,1,8.423719875
312021,127026,8,6,202310,564,1,@2523,11.5,TON,11.5,72054.69,20175.31,1,1,11.10926457
312021,203393,8,9,202311,696,1,@2523,21.5,TON,21.5,138070.31,38659.69,1,1,9.226831729
312021,203394,8,9,202311,687,1,@2523,42,TON,42,269718.75,75521.25,1,1,9.347707424
312021,282006,8,9,202311,592,1,@2523,42.5,TON,42.5,956250,267750,3,1,38.00675676
312021,301030,8,8,202310,447,1,@2523,38,TON,38,166250,46550,1,1,9.787472036
312021,333031,8,8,202311,517,1,@2523,30,TON,30,361875,101325,2,1,23.33172147
312021,335804,8,8,202310,630,1,@2523,40,TON,40,132045.6,0,1,1,5.239904762
312021,388001,8,24,202311,437,1,@2523,42.48,TON,42.48,232312.5,65047.5,1,1,12.51430206
312021,389380,8,24,202310,403,1,@2523,42,TON,42,480243.76,134468.24,2,1,28.37313955
312021,452010,8,23,202310,340,1,@2523,42,TON,42,200156.25,56043.75,1,1,14.01654412
312601,110033,8,7,202310,616,1,@2523,45.76,MTS,45.76,271700,76076,1,1,9.638798701
312601,110033,8,7,202311,616,1,@2523,45.78,MTS,45.78,271819,76109.25,1,1,9.638807566
312601,302001,8,8,202310,349,1,@2523,20,MTS,20,608400,0,4,1,87.16332378
312601,302001,8,8,202310,349,1,@2523,39.44,MTS,39.44,425213,119059.5,2,1,30.89187014
312601,303301,8,8,202310,381,1,@2523,3.5,MTS,3.5,19141,5359.38,1,1,14.35395576
312601,321404,8,8,202310,565,1,@2523,33,MTS,33,202641,56739.38,1,1,10.86838294
312601,322241,8,8,202310,499,1,@2523,7.5,MTS,7.5,45469,12731.26,1,1,12.1493654
312601,325221,8,8,202310,340,1,@2523,200,MTS,200,52200,0,1,1,0.767647059
312601,331303,8,8,202310,500,1,@2523,27,MTS,27,178031,49848.76,1,1,13.18748148
