start_pin,destination_pin,bharat_sir_eway_data_mar24_050424.origin_from_state,bharat_sir_eway_data_mar24_050424.destination_from_state,bharat_sir_eway_data_mar24_050424.rtn_period,travel_distance,bharat_sir_eway_data_mar24_050424.transport_mode,bharat_sir_eway_data_mar24_050424.hsn_code_4d,quantity,bharat_sir_eway_data_mar24_050424.unit_quantity_code,Quantity (In TON),amount,bharat_sir_eway_data_mar24_050424.total_tax,bharat_sir_eway_data_mar24_050424.ewbs_count,bharat_sir_eway_data_mar24_050424.supplier_gstin_cnt,Cost pre Km per TON
305901,383315,8,24,202403,369,1,@2523,19,MTS,19,744562.5,208477.5,7,1,106.199187
305901,458660,8,23,202403,327,1,@2523,42,MTS,42,225093.75,63026.25,1,1,16.38952599
305901,475220,8,23,202403,617,1,@2523,20,MTS,20,116250,32550,1,1,9.420583468
306107,122001,6,6,202403,427,1,@2523,860,BAG,43,218359.38,61140.62,1,1,11.89256468
306107,127035,8,6,202403,436,1,@2523,41,MTS,41,483031.26,135248.76,2,1,27.02121616
306107,127035,8,6,202403,436,1,@2523,41.5,MTS,41.5,488921.88,136898.12,2,1,27.02121587
306107,142001,8,3,202403,658,1,@2523,45,MTS,45,276328.13,77371.88,1,1,9.332257008
306107,148101,8,3,202403,589,1,@2523,20,MTS,20,120312.5,33687.5,1,1,10.21328523
306107,160061,8,3,202403,683,1,@2523,15,MTS,15,71250,19950,1,1,6.954612006
306107,203205,8,9,202403,528,1,@2523,40.03,MTS,40.03,100075,28021,1,1,4.734848485
306107,203205,8,9,202403,528,1,@2523,42.81,MTS,42.81,214050,59934,2,1,9.46969697
306107,203205,8,9,202403,532,1,@2523,44.15,MTS,44.15,220750,61810,2,1,9.398496241
306107,301707,8,8,202403,386,1,@2523,41.42,MTS,41.42,207100,0,2,1,12.95336788
306107,301707,8,8,202403,386,1,@2523,43.02,MTS,43.02,107550,0,1,1,6.476683938
306107,307043,8,8,202403,316,1,@2523,42,MTS,42,183750,51450,1,1,13.84493671
306107,321406,8,8,202403,341,1,@2523,45,MTS,45,193359.38,54140.62,1,1,12.60080678
306107,331001,8,8,202403,302,1,@2523,35.25,MTS,35.25,127643.55,35740.2,1,1,11.99037622
306107,331811,8,8,202403,315,1,@2523,25,MTS,25,111328.13,31171.88,1,1,14.1369054
306107,335804,8,8,202403,418,1,@2523,41.88,MTS,41.88,1361100,0,13,1,77.75119617
306107,335804,8,8,202403,418,1,@2523,41.97,MTS,41.97,419700,0,4,1,23.92344498
306107,335804,8,8,202403,418,1,@2523,43.05,MTS,43.05,861000,0,8,1,47.84688995
306107,335804,8,8,202403,418,1,@2523,45.31,MTS,45.31,792925,0,7,1,41.86602871
306107,345001,8,8,202403,426,1,@2523,39.71,MTS,39.71,143793.63,40262.22,1,1,8.500219904
306107,345001,8,8,202403,426,1,@2523,42.21,MTS,42.21,305692.74,85593.96,2,1,17.00044045
306107,396421,8,24,202403,749,1,@2523,42.15,MTS,42.15,230507.81,64542.19,1,1,7.30140179
306308,122505,8,6,202403,475,1,@2523,42.5,TON,42.5,576215,161340.2,3,1,28.54315789
306308,127306,8,6,202403,471,1,@2523,42.16,TON,42.16,542346.24,151856.94,3,1,27.31210191
306308,135001,8,6,202403,709,1,@2523,25,TON,25,149609.37,41890.63,1,1,8.440585049
306308,152112,8,3,202403,579,1,@2523,16,TON,16,193750,54250,2,1,20.91429188
306308,301412,8,8,202403,400,1,@2523,10,TON,10,60781.24,17018.76,1,1,15.19531
306308,331301,8,8,202403,483,1,@2523,5,TON,5,30781.24,8618.76,1,1,12.74585507
306308,384265,8,24,202403,413,1,@2523,42,TON,42,161700,45276,1,1,9.322033898
306709,124108,8,6,202403,456,1,@2523,40.59,TON,40.59,197876.25,55405.35,1,1,10.69078947
306709,247667,8,5,202403,727,1,@2523,42.05,MTS,42.05,1281263.5,358753.8,10,1,41.91196699
306709,301404,8,8,202403,406,1,@2523,12,MTS,12,73125,20475,1,1,15.00923645
306709,303313,8,8,202403,337,1,@2523,42,MTS,42,1079531.88,302268.96,6,1,76.2704451
306709,307513,8,8,202403,322,1,@2523,10,TON,10,124687.48,34912.52,2,1,38.72281988
306709,307514,8,8,202403,306,1,@2523,15,TON,15,182343.74,51056.26,2,1,39.72630501
306709,325221,8,8,202403,437,1,@2523,34,TON,34,199218.74,55781.26,1,1,13.4081801
306709,331403,8,8,202403,303,1,@2523,36,TON,36,506250,141750,3,1,46.41089109
306709,333026,8,8,202403,339,1,@2523,33,TON,33,208828.12,58471.88,1,1,18.66703495
306709,333029,8,8,202403,350,1,@2523,16,TON,16,100000,28000,1,1,17.85714286
306709,333504,8,8,202403,387,1,@2523,45,TON,45,207421.88,58078.12,1,1,11.91053
306709,343029,8,8,202403,326,1,@2523,15,TON,15,182343.74,51056.26,2,1,37.28910838
306709,345026,8,8,202403,349,1,@2523,41.14,MTS,41.14,163917.39,45896.88,1,1,11.41656138
306709,385545,8,24,202403,335,1,@2523,20,TON,20,128125,35875,1,1,19.12313433
307019,360370,8,24,202403,519,1,@2523,18,MTS,18,92812.5,25987.5,1,1,9.934971098
307019,363642,8,24,202403,414,1,@2523,36.11,MTS,36.11,185063.75,51817.85,1,1,12.37922705
307019,370201,8,24,202403,404,1,@2523,0.5,MTS,0.5,2617.19,732.81,1,1,12.95638614
307019,370465,8,24,202403,490,1,@2523,42,MTS,42,2825027.31,791007.67,21,1,137.2705204
307019,389001,8,24,202403,360,1,@2523,30.6,MTS,30.6,164953.12,46186.87,1,1,14.97395788
307019,390020,8,24,202403,353,1,@2523,37.48,MTS,37.48,201455,56407.4,1,1,15.2266289
307019,394210,8,24,202403,509,2,@2523,129.2,MTS,129.2,782835.72,219194,2,1,11.90392927
307019,395003,8,24,202403,498,1,@2523,41.5,MTS,41.5,179633.58,50297.4,2,1,8.691807229
307031,345023,8,8,202403,402,1,@2523,40,MTS,40,184375.2,51625.06,1,1,11.4661194
312021,322214,8,23,202403,419,1,@2523,42,TON,42,177187.5,49612.5,1,1,10.06861575
312021,331507,8,8,202403,364,1,@2523,15,TON,15,177656.24,49743.76,2,1,32.53777289
312021,344022,8,8,202403,452,1,@2523,15,TON,15,254765.6,71334.4,3,1,37.5760472
312021,382150,8,24,202403,436,1,@2523,35,TON,35,190804.69,53425.31,1,1,12.50358388
312021,385001,8,24,202403,328,1,@2523,42,TON,42,662671.91,185548.13,3,1,48.10336164
312021,391240,8,24,202403,480,1,@2523,42.05,TON,42.05,225361.72,63101.28,1,1,11.16536465
312021,391320,8,24,202403,465,1,@2523,42.29,TON,42.29,227969.53,63831.47,1,1,11.59274187
312021,455001,8,23,202403,312,1,@2523,41,TON,41,1343962.37,376309.45,7,1,105.0627244
312601,304024,8,8,202403,318,1,@2523,45.67,MTS,45.67,192670.3,53947.68,1,1,13.26650857
312601,321202,8,8,202403,546,1,@2523,15,MTS,15,419531.26,117468.74,5,1,51.22481807
312601,325004,8,8,202403,301,1,@2523,42,MTS,42,173906.24,48693.76,1,1,13.75622844
312601,333001,8,8,202403,516,1,@2523,41.8,MTS,41.8,1650013.12,0,6,1,76.49999629
312601,335038,8,8,202403,763,1,@2523,3.9,MTS,3.9,18585.94,5204.06,1,1,6.245905165
312601,342001,8,8,202403,403,1,@2523,35.55,MTS,35.55,152753.9,42771.1,1,1,10.66222041
312601,343041,8,8,202403,457,1,@2523,25,MTS,25,150000,42000,1,1,13.12910284
312601,380001,8,24,202403,387,1,@2523,45.72,MTS,45.72,246459.37,69008.63,1,1,13.92926328
312601,382210,8,24,202403,414,1,@2523,44.49,MTS,44.49,236353.12,66178.88,1,1,12.83212533
312601,382355,8,24,202403,366,1,@2523,45.57,MTS,45.57,955972.94,267672.42,5,1,57.31726846
312601,383325,8,24,202403,324,1,@2523,44.51,MTS,44.51,236459.37,66208.63,1,1,16.39660459
312601,388710,8,24,202403,416,1,@2523,41.83,MTS,41.83,606535.05,169829.8,5,1,34.8557721
312601,388710,8,24,202403,416,1,@2523,42.31,MTS,42.31,490796.04,137422.88,4,1,27.88461766
312601,389001,8,24,202403,389,1,@2523,44.59,MTS,44.59,243851.56,68278.44,1,1,14.05848315
312601,389320,8,24,202403,417,1,@2523,41.37,MTS,41.37,219778.12,61537.88,1,1,12.73980786
312601,452002,8,23,202403,302,1,@2523,45.42,MTS,45.42,436457.79,122208.19,2,1,31.81912088
312601,452002,8,23,202403,302,1,@2523,45.61,MTS,45.61,203107.03,56869.97,1,1,14.74544693
312601,454441,8,23,202403,309,1,@2523,31,MTS,31,171468.75,48011.25,1,1,17.90048544
312601,462001,8,23,202403,419,1,@2523,45.59,MTS,45.59,231511.72,64823.28,1,1,12.11963014
312601,466116,8,23,202403,343,1,@2523,46,MTS,46,1939366.97,543022.72,10,1,122.9158936
312617,301001,8,7,202403,489,1,@2523,42,TON,42,203437.5,56962.5,1,1,9.905419223
312617,303305,8,8,202403,384,1,@2523,44.24,TON,44.24,197006.24,55161.76,1,1,11.5966791
312617,303325,8,8,202403,418,1,@2523,39.43,TON,39.43,175586.72,49164.28,1,1,10.65340917
312617,306401,8,8,202403,312,1,@2523,41,TON,41,563051.72,0,4,1,44.01592558
312617,322255,8,8,202403,472,1,@2523,20,TON,20,77543.74,0,1,1,8.214379237
312617,334802,8,8,202403,474,1,@2523,20,TON,20,350625,98175,3,1,36.98575949
312617,342024,8,8,202403,399,1,@2523,42,TON,42,140076.56,0,1,1,8.358787445
312617,343001,8,8,202403,376,1,@2523,10,TON,10,36715.62,0,1,1,9.764792553
312620,110074,8,7,202403,598,1,@2523,42.5,TON,42.5,149414.06,41835.94,1,1,5.878971474
312620,122508,8,6,202403,643,1,@2523,42,TON,42,219843.75,61556.25,1,1,8.1405521
312620,125106,8,6,202403,763,1,@2523,5,TON,5,30546.88,8553.13,1,1,8.007045872
312620,125120,8,6,202403,752,1,@2523,32.5,TON,32.5,397109.38,111190.62,2,1,16.24833797
312620,126102,8,6,202403,669,1,@2523,42.06,TON,42.06,222129.37,62196.23,1,1,7.894244964
312620,136129,8,6,202403,813,1,@2523,43.5,TON,43.5,276632.81,77457.19,1,1,7.8221094
312620,201306,8,9,202403,673,1,@2523,41.9,TON,41.9,216046.87,60493.13,1,1,7.661589719
312620,281203,8,9,202403,662,1,@2523,43,TON,43,545562.5,152757.5,2,1,19.16540785
312620,303007,8,8,202403,319,1,@2523,43,TON,43,379609.38,106290.62,2,1,27.67437341
312620,303305,8,8,202403,387,1,@2523,39.92,TON,39.92,175273.74,49076.66,1,1,11.34528359
312620,303325,8,8,202403,421,1,@2523,40.08,TON,40.08,175976.24,49273.36,1,1,10.42903741
312620,333026,8,8,202403,559,1,@2523,42,TON,42,129005.62,0,1,1,5.494744868
312620,382430,8,24,202403,387,1,@2523,38.69,TON,38.69,199495.31,55858.69,1,1,13.32364324
312620,382715,8,24,202403,412,1,@2523,40.22,TON,40.22,213668.75,59827.25,1,1,12.89441748
312620,390022,8,24,202403,485,1,@2523,42,TON,42,1982736,555166.08,14,1,97.33608247
312620,395007,8,24,202403,667,1,@2523,39.25,TON,39.25,214648.44,60101.56,1,1,8.199025583
312620,452013,8,23,202403,329,1,@2523,43,TON,43,654804,183345.12,5,1,46.28571429
312622,184120,8,1,202403,1151,2,@2523,773.85,MTS,773.85,17653453.12,4942966.88,4,1,19.81972198
313022,123305,8,6,202403,614,1,@2523,42.46,MTS,42.46,760034,212809.52,4,1,29.15309446
313022,131001,8,6,202403,704,1,@2523,43,MTS,43,300226,84063.28,2,1,9.917613636
313022,142038,8,3,202403,942,1,@2523,64.04,MTS,64.04,224140,62759.2,1,1,3.715498938
313022,360005,8,24,202403,511,1,@2523,41.5,MTS,41.5,145250,40670,1,1,6.849315068
313022,391330,8,24,202403,372,1,@2523,44.82,MTS,44.82,149878.08,41965.86,1,1,8.989247312
313022,395001,8,24,202403,533,1,@2523,44.94,MTS,44.94,150279.36,42078.22,1,1,6.273921201
313022,465445,8,23,202403,368,1,@2523,21.5,MTS,21.5,118250,33110,1,1,14.94565217
313201,342901,8,8,202403,419,1,@2523,14.5,MTS,14.5,83148.44,23281.56,1,1,13.6858596
323603,282006,8,9,202403,340,2,@2523,723,TON,723,3005438.7,841522.84,1,1,12.22617647
326520,110034,8,7,202403,591,2,@2523,65.9,TON,65.9,1287027,360367.55,5,1,33.04568528
326520,202001,8,9,202403,617,2,@2523,1381.3,TON,1381.3,15738532.2,4406789.01,3,1,18.46677472
333304,247663,8,5,202403,518,1,@2523,42.84,MTS,42.84,428400,119952,4,1,19.30501931
333304,321204,8,8,202403,301,1,@2523,22,MTS,22,242618.75,67933.26,2,1,36.63828904
333304,335063,8,8,202403,317,1,@2523,7,MTS,7,62343.75,17456.26,2,1,28.09542587
335804,143001,8,3,202403,338,1,@2523,52.49,MTS,52.49,278853.13,78078.88,1,1,15.7174559
335804,177043,8,2,202403,409,1,@2523,20,MTS,20,201000,56280,2,1,24.57212714
341026,110094,8,7,202403,537,1,@2523,41.12,TON,41.12,417625,116935,2,1,18.91294227
341026,151002,8,3,202403,476,1,@2523,42.98,TON,42.98,111129.3,31116.2,1,1,5.431943136
341026,203207,8,9,202403,591,1,@2523,41,TON,41,424039.24,118731,4,1,17.49986546
341026,203207,8,9,202403,591,1,@2523,41.5,TON,41.5,1405748.83,393609.69,13,1,57.31550894
341026,203207,8,9,202403,591,1,@2523,42.46,TON,42.46,1211321.06,339169.88,11,1,48.27161146
341026,301019,8,8,202403,460,1,@2523,40.9,TON,40.9,377046.88,105573.12,2,1,20.04076114
341026,307802,8,8,202403,361,1,@2523,25.95,TON,25.95,153672.66,43028.34,1,1,16.40408627
