start_pin,destination_pin,bharat_sir_eway_data_jun23_jul23_020424.origin_from_state,bharat_sir_eway_data_jun23_jul23_020424.destination_from_state,bharat_sir_eway_data_jun23_jul23_020424.rtn_period,travel_distance,bharat_sir_eway_data_jun23_jul23_020424.transport_mode,bharat_sir_eway_data_jun23_jul23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_jun23_jul23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_jun23_jul23_020424.total_tax,bharat_sir_eway_data_jun23_jul23_020424.ewbs_count,bharat_sir_eway_data_jun23_jul23_020424.supplier_gstin_cnt,Cost pre Km per TON
301707,207245,8,9,202306,315,1,@2523,30,MTS,30,167344,46856.32,1,1,17.70835979
301707,207246,8,9,202307,327,1,@2523,15,MTS,15,182578,51121.84,2,1,37.22283384
303108,125052,8,6,202306,302,1,@2523,10,MTS,10,65781.3,18418.77,1,1,21.78188742
303108,125055,8,6,202307,355,1,@2523,34,MTS,34,173288.82,48520.87,1,1,14.35698592
303108,125104,8,6,202307,411,1,@2523,10,MTS,10,65312.5,18287.5,1,1,15.89111922
303108,141001,8,3,202307,472,1,@2523,40.44,MTS,40.44,246431.25,69000.75,1,1,12.91048729
303108,246761,8,9,202307,408,1,@2523,41,MTS,41,237031.25,66368.75,1,1,14.16973039
303108,335503,8,8,202306,306,1,@2523,20,MTS,20,384375,107625,3,1,62.80637255
303108,344001,8,8,202306,667,1,@2523,35,MTS,35,371876.05,0,2,1,15.92958021
305901,203205,8,9,202306,518,1,@2523,45.38,MTS,45.38,158830,44472.4,1,1,6.756756757
305901,385310,8,24,202306,336,1,@2523,5,MTS,5,146484.51,41015.67,5,1,87.19316071
305901,457441,8,23,202306,391,1,@2523,8,MTS,8,42499.77,11899.93,1,1,13.58688299
306107,122017,8,6,202307,433,1,@2523,42,MTS,42,617400,172872,3,1,33.94919169
306107,123001,8,6,202306,351,1,@2523,20,MTS,20,123437,34562.36,1,1,17.58361823
306107,132105,8,6,202307,552,1,@2523,43.91,MTS,43.91,153685,43031.8,1,1,6.34057971
306107,134102,8,6,202306,687,1,@2523,45,MTS,45,1824187.26,510772.44,8,1,59.00654246
306107,135021,8,6,202307,672,1,@2523,35,MTS,35,393750,110250,2,1,16.74107143
306107,140601,8,3,202306,667,1,@2523,42,MTS,42,728437.5,203962.5,3,1,26.00262369
306107,141112,8,3,202307,671,1,@2523,40,MTS,40,255625,71575,1,1,9.524031297
306107,203205,8,9,202306,528,1,@2523,43.28,MTS,43.28,151480,42414.4,1,1,6.628787879
306107,203205,8,9,202306,528,1,@2523,45.23,MTS,45.23,1108135,310277.8,7,1,46.40151515
306107,203205,8,9,202307,528,1,@2523,45.96,MTS,45.96,482580,135122.4,3,1,19.88636364
306107,203205,8,9,202307,528,1,@2523,46,MTS,46,644000,180320,4,1,26.51515152
306107,226001,8,9,202307,777,2,@2523,131.8,MTS,131.8,645820,180829.6,1,1,6.306306306
306107,244001,8,9,202306,634,1,@2523,42.5,MTS,42.5,1332905.76,373213.61,6,1,49.46764743
306107,244104,8,9,202307,652,1,@2523,45,MTS,45,253125,70875,1,1,8.627300613
306107,246745,8,9,202306,669,1,@2523,45,MTS,45,492187.6,137812.53,2,1,16.34903172
306107,301701,8,8,202307,319,1,@2523,41.5,MTS,41.5,1270938.74,355862.82,6,1,96.00322846
306107,301707,8,8,202306,386,1,@2523,44.56,MTS,44.56,1247680,0,8,1,72.5388601
306107,301707,8,8,202306,386,1,@2523,44.96,MTS,44.96,2675120,0,17,1,154.1450777
306107,301707,8,8,202306,386,1,@2523,45.29,MTS,45.29,1585150,0,10,1,90.67357513
306107,321001,8,8,202306,389,1,@2523,40.27,MTS,40.27,191911.61,53735.24,1,1,12.25095707
306107,321611,8,8,202307,313,1,@2523,15,MTS,15,86484,24215.52,1,1,18.42044728
306107,333029,8,8,202307,362,1,@2523,15,MTS,15,94687,26512.36,1,1,17.43775322
306107,334001,8,8,202307,394,1,@2523,20,MTS,20,114687,32112.36,1,1,14.55418782
306107,335804,8,8,202306,418,1,@2523,34.43,MTS,34.43,120505,0,1,1,8.373205742
