start_pin,destination_pin,bharat_sir_eway_data_aug23_sep23_020424.origin_from_state,bharat_sir_eway_data_aug23_sep23_020424.destination_from_state,bharat_sir_eway_data_aug23_sep23_020424.rtn_period,travel_distance,bharat_sir_eway_data_aug23_sep23_020424.transport_mode,bharat_sir_eway_data_aug23_sep23_020424.hsn_code_4d,quantity,bharat_sir_eway_data_aug23_sep23_020424.unit_quantity_code,Quantity (in TON),amount,bharat_sir_eway_data_aug23_sep23_020424.total_tax,bharat_sir_eway_data_aug23_sep23_020424.ewbs_count,bharat_sir_eway_data_aug23_sep23_020424.supplier_gstin_cnt,Cost pre Km per TON
305901,314025,8,8,202309,361,1,@2523,25,MTS,25,118750,33250,1,1,13.15789474
305901,385110,8,24,202308,360,1,@2523,5,MTS,5,29609.38,8290.63,1,1,16.44965556
305901,465230,8,23,202309,442,1,@2523,27,MTS,27,146812,41107.36,1,1,12.3019943
306101,151201,3,3,202308,591,1,@2523,44.81,MTS,44.81,175879,49246.12,1,1,6.641276516
306107,123024,8,8,202309,399,1,@2523,42,MTS,42,199500,55860,1,1,11.9047619
306107,124507,8,7,202309,458,1,@2523,42,   ,,226406.25,63393.75,1,1,#DIV/0!
306107,125104,8,6,202309,508,1,@2523,42,MTS,42,526312,147367.36,2,1,24.66779153
306107,136027,8,6,202308,554,1,@2523,45,MTS,45,1095750,306810,5,1,43.95306859
306107,151507,8,3,202308,515,1,@2523,3,MTS,3,20015.57,5604.36,1,1,12.95506149
306107,203205,8,9,202309,528,1,@2523,42.13,MTS,42.13,442365,123862.2,3,1,19.88636364
306107,203205,8,9,202308,528,1,@2523,44.16,MTS,44.16,618240,173107.2,4,1,26.51515152
306107,203205,8,9,202308,528,1,@2523,45.51,MTS,45.51,1592850,445998,10,1,66.28787879
306107,204101,8,9,202309,475,1,@2523,10,MTS,10,66250,18550,1,1,13.94736842
306107,246722,8,9,202309,693,1,@2523,19,MTS,19,130328,36491.84,1,1,9.89807853
306107,247774,8,9,202309,566,1,@2523,42,MTS,42,300562.5,84157.5,1,1,12.64355124
306107,301701,8,8,202308,326,1,@2523,46.84,MTS,46.84,182676,51149.28,1,1,11.96319018
306107,301707,8,8,202308,386,1,@2523,46.56,MTS,46.56,977760,0,6,1,54.40414508
306107,301707,8,8,202309,391,1,@2523,42,MTS,42,426562,119437.36,2,1,25.97503349
306107,321022,8,8,202309,416,1,@2523,32,MTS,32,404500.12,113260.02,2,1,30.3861268
306107,325205,8,8,202309,316,1,@2523,29,MTS,29,159953,44786.84,1,1,17.45449585
306107,325221,8,8,202308,379,1,@2523,23,MTS,23,126859,35520.52,1,1,14.55305724
306107,326037,8,8,202309,423,1,@2523,7,MTS,7,38609,10810.52,1,1,13.03917595
306107,327001,8,8,202308,397,1,@2523,34,MTS,34,136478.02,38213.84,1,1,10.11098089
306107,328023,8,8,202308,453,1,@2523,22,MTS,22,138187.5,38692.5,1,1,13.86589404
306107,331302,8,8,202309,375,1,@2523,10,MTS,10,95000,26600,2,1,25.33333333
306107,334402,8,8,202309,357,1,@2523,15,MTS,15,93281.25,26118.76,1,1,17.41946779
306107,335804,8,8,202308,418,1,@2523,44.64,MTS,44.64,1406160,0,9,1,75.35885167
306107,335804,8,8,202309,418,1,@2523,46.72,MTS,46.72,817600,0,5,1,41.86602871
306107,335804,8,8,202309,418,1,@2523,47.25,MTS,47.25,992250,0,6,1,50.23923445
306107,335804,8,8,202309,418,1,@2523,47.81,MTS,47.81,167335,0,1,1,8.373205742
306107,345001,8,8,202308,464,1,@2523,20,MTS,20,113125,31675,1,1,12.19019397
306107,382110,8,24,202308,523,1,@2523,35,MTS,35,437500,122500,2,1,23.90057361
306107,385570,8,24,202308,426,1,@2523,12,MTS,12,74812.5,20947.5,1,1,14.6346831
306308,124106,8,6,202309,504,1,@2523,40.6,MTS,40.6,225203.12,63056.88,1,1,11.00570412
306308,127306,8,6,202308,471,1,@2523,38.71,MTS,38.71,117026.57,32767.43,1,1,6.418601271
306308,132104,8,6,202308,596,1,@2523,43,MTS,43,328520,91985.6,2,1,12.81879195
306308,136038,8,6,202308,670,1,@2523,44,MTS,44,382316,107048.48,2,1,12.96865672
306308,160055,8,3,202309,760,1,@2523,43,MTS,43,413067.03,115658.76,3,1,12.63975
306308,247662,8,9,202309,768,1,@2523,21.5,MTS,21.5,281179.77,78730.32,2,1,17.02881359
306308,250626,8,9,202309,628,1,@2523,22.5,MTS,22.5,136054.54,38095.31,1,1,9.628771408
306308,251001,8,9,202308,689,1,@2523,22.5,MTS,22.5,171900,48132,2,1,11.08853411
306308,303107,8,8,202308,339,1,@2523,26,MTS,26,290062.5,81217.5,2,1,32.90929204
306308,332719,8,8,202308,341,1,@2523,31,MTS,31,174859.38,48960.62,1,1,16.54142276
306308,333011,8,8,202309,436,1,@2523,36,MTS,36,188437.5,52762.5,1,1,12.00544725
306709,201008,8,9,202309,572,1,@2523,41.53,MTS,41.53,342373.32,95864.55,3,1,14.41258741
306709,201310,8,9,202309,561,1,@2523,1,TON,1,5390.62,1509.38,1,1,9.608948307
306709,301030,8,8,202309,401,1,@2523,41.02,MTS,41.02,367898.13,103011.5,2,1,22.3659604
306709,327601,8,8,202309,485,1,@2523,9,TON,9,52031.24,14568.76,1,1,11.9201008
306709,334021,8,8,202309,330,1,@2523,35,MTS,35,880468.75,246531.26,5,1,76.23106061
306709,334603,8,8,202309,356,1,@2523,35,MTS,35,213281.25,59718.76,1,1,17.11727528
306709,335024,8,8,202309,459,1,@2523,10,TON,10,127656.24,35743.76,2,1,27.81181699
306709,335512,8,8,202308,459,1,@2523,2,TON,2,11174.04,0,1,1,12.17215686
307019,302017,8,8,202309,453,1,@2523,40.77,MTS,40.77,124835.7,0,1,1,6.759271442
307019,321608,8,8,202308,567,1,@2523,10,MTS,10,171093.72,47906.22,3,1,30.17525926
307019,321608,8,8,202308,567,1,@2523,32,MTS,32,580000,162400,3,1,31.9664903
307019,325209,8,8,202309,444,1,@2523,19,MTS,19,110734.36,31005.62,1,1,13.12640588
307019,331022,8,8,202308,503,1,@2523,7.5,MTS,7.5,47226.56,13223.44,1,1,12.51863751
307019,331022,8,8,202308,503,1,@2523,25,MTS,25,144921.86,40578.12,1,1,11.52460119
307019,334023,8,8,202309,550,1,@2523,12,MTS,12,73312.5,20527.5,1,1,11.10795455
307019,335703,8,8,202308,683,1,@2523,21,MTS,21,513187.44,143692.48,4,1,35.77964443
307019,345027,8,8,202308,431,1,@2523,40.68,MTS,40.68,181153.12,50722.88,1,1,10.33207628
307019,345027,8,8,202308,431,1,@2523,42.06,MTS,42.06,197156.24,55203.74,1,1,10.87586952
307019,363510,8,24,202308,382,1,@2523,32,MTS,32,785000,219800,4,1,64.21793194
307019,363650,8,24,202308,435,1,@2523,26,MTS,26,1271562.5,356037.5,8,1,112.4281609
307019,364001,8,24,202309,410,1,@2523,37.35,MTS,37.35,114363.83,32021.87,1,1,7.468170568
307019,395003,8,24,202308,498,1,@2523,40.64,MTS,40.64,204539.49,57271.06,2,1,10.10634516
